index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
88,484600,2026-01-08 12:36:32,0.223694,5,7.426,0.0,-0.223694,0.0,22.6,8.2,3.1,1024,1024,1024,1024,0,0,0,0,69,6.142,77.54,34.44882,P-GPS,,10.5
89,484700,2026-01-08 12:36:32,0.223694,5,7.426,0.0,-0.223694,0.0,22.6,8.2,3.3,1024,1024,1024,1024,0,0,0,0,69,6.142,77.54,34.44882,P-GPS,,10.5
90,484800,2026-01-08 12:36:32,0.223694,5,7.464,0.0,-0.223694,0.0,22.6,8.6,4.1,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.44882,P-GPS,,10.5
91,484900,2026-01-08 12:36:32,0.0,5,7.464,0.0,0.0,0.0,22.6,7.4,3.6,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.44882,P-GPS,,10.5
92,485000,2026-01-08 12:36:32,0.0,5,7.464,0.0,0.0,0.0,22.5,7.7,3.2,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.44882,P-GPS,,10.5
93,485100,2026-01-08 12:36:32,0.0,5,7.464,0.0,0.0,0.0,22.6,8.2,3.3,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.44882,P-GPS,,10.5
94,485200,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.4,8.1,3.6,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.120736,P-GPS,,10.4
95,485300,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.6,8.4,3.4,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.120736,P-GPS,,10.4
96,485400,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.6,8.9,3.0,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.120736,P-GPS,,10.4
97,485500,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.7,8.6,3.1,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.120736,P-GPS,,10.4
98,485600,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.7,7.9,3.8,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,34.120736,P-GPS,,10.4
99,485700,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.7,7.6,3.7,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,33.792652,P-GPS,,10.3
100,485800,2026-01-08 12:36:33,0.0,5,7.464,0.0,0.0,0.0,22.6,6.5,4.1,1024,1024,1024,1024,0,0,0,0,68,4.825,77.54,33.792652,P-GPS,,10.3
101,485900,2026-01-08 12:36:33,0.0,5,7.467,0.0,0.0,0.0,22.7,6.5,3.9,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.792652,P-GPS,,10.3
102,486000,2026-01-08 12:36:33,0.0,5,7.467,0.0,0.0,0.0,22.8,6.6,4.8,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.792652,P-GPS,,10.3
103,486100,2026-01-08 12:36:33,0.0,5,7.467,0.0,0.0,0.0,22.8,6.7,4.0,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.792652,P-GPS,,10.3
104,486200,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,-0.223694,22.7,7.4,3.6,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.792652,P-GPS,,10.3
105,486300,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.8,7.2,3.5,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.464568,P-GPS,,10.2
106,486400,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.7,7.6,3.1,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.464568,P-GPS,,10.2
107,486500,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.6,7.3,3.1,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.464568,P-GPS,,10.2
108,486600,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.6,8.6,2.7,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.464568,P-GPS,,10.2
109,486700,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.7,8.7,2.9,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.464568,P-GPS,SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),10.2
110,486800,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.8,8.5,3.2,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.136484,P-GPS,,10.1
111,486900,2026-01-08 12:36:34,0.0,5,7.467,0.0,0.0,0.0,22.7,8.8,3.0,1024,1024,1024,1024,0,0,0,0,68,5.551,77.72,33.136484,P-GPS,,10.1
112,487000,2026-01-08 12:36:34,0.0,5,7.494,0.0,0.0,0.0,22.7,8.9,3.4,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,33.136484,P-GPS,,10.1
113,487100,2026-01-08 12:36:34,0.0,5,7.494,0.0,0.0,0.0,22.8,9.0,3.1,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,33.136484,P-GPS,,10.1
114,487200,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.8,8.9,3.4,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,33.136484,P-GPS,,10.1
115,487300,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.7,7.7,3.5,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
116,487400,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.6,6.9,3.3,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
117,487500,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.7,7.0,2.9,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
118,487600,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.7,7.3,2.8,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
119,487700,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.6,7.1,2.9,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
120,487800,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.7,7.5,2.6,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
121,487900,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.6,7.0,2.9,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.8084,P-GPS,,10.0
122,488000,2026-01-08 12:36:35,0.0,5,7.494,0.0,0.0,0.0,22.6,6.9,3.5,1024,1024,1024,1024,0,0,0,0,68,5.217,77.72,32.480316,P-GPS,,9.9
123,488100,2026-01-08 12:36:35,0.0,5,7.509,0.0,0.0,0.0,22.7,7.7,4.2,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
124,488200,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.7,7.2,4.2,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
125,488300,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.9,7.6,4.3,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
126,488400,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.9,7.8,4.3,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
127,488500,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.8,6.8,4.7,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
128,488600,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.7,6.2,4.3,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
129,488700,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.7,5.8,4.1,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
130,488800,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.7,5.5,4.0,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
131,488900,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.7,5.8,3.7,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
132,489000,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.8,5.8,3.9,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.480316,P-GPS,,9.9
133,489100,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.8,5.2,3.9,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.152232,P-GPS,,9.8
134,489200,2026-01-08 12:36:36,0.0,5,7.509,0.0,0.0,0.0,22.6,5.3,4.1,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.152232,P-GPS,,9.8
135,489300,2026-01-08 12:36:37,0.0,5,7.509,0.0,0.0,0.0,22.7,5.0,4.1,1024,1024,1024,1024,0,0,0,0,68,4.939,77.72,32.152232,P-GPS,,9.8
