time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
238500,2026-01-07 15:37:02,0.0,5,7.345,0.0,0.0,0.0,35.5,5.2,2.2,1024,1024,1024,1024,0,0,0,0,63,4.934,69.98,166.994756,P-GPS,,50.9
238600,2026-01-07 15:37:02,0.0,5,7.345,0.0,0.0,0.0,35.4,5.2,2.4,1024,1024,1024,1024,0,0,0,0,63,4.934,69.98,167.32284,P-GPS,,51.0
238700,2026-01-07 15:37:02,0.0,5,7.345,0.0,0.0,0.0,35.5,5.3,3.0,1024,1024,1024,1024,0,0,0,0,63,4.934,69.98,167.32284,P-GPS,,51.0
238800,2026-01-07 15:37:02,0.0,5,7.345,0.0,0.0,0.0,35.5,5.2,2.9,1024,1024,1024,1024,0,0,0,0,63,4.934,69.98,167.32284,P-GPS,,51.0
238900,2026-01-07 15:37:02,0.0,5,7.345,0.0,0.0,0.0,35.5,5.4,2.9,1024,1024,1024,1024,0,0,0,0,63,4.934,69.98,167.650924,P-GPS,,51.1
239000,2026-01-07 15:37:02,0.0,5,7.391,0.0,0.0,0.0,35.6,5.5,2.8,1024,1024,1024,1024,0,0,0,0,63,4.149,69.98,167.650924,P-GPS,,51.1
239100,2026-01-07 15:37:02,0.0,5,7.391,0.0,0.0,0.0,35.6,5.6,2.7,1024,1024,1024,1024,0,0,0,0,63,4.149,69.98,167.650924,P-GPS,,51.1
239200,2026-01-07 15:37:02,0.0,5,7.391,0.0,0.0,0.0,35.5,5.3,2.4,1024,1024,1024,1024,0,0,0,0,63,4.149,69.98,167.979008,P-GPS,,51.2
239300,2026-01-07 15:37:02,0.0,5,7.391,0.0,0.0,0.0,35.5,5.2,2.6,1024,1024,1024,1024,0,0,0,0,63,4.149,69.98,167.979008,P-GPS,,51.2
239400,2026-01-07 15:37:02,0.0,5,7.391,0.0,0.0,0.0,35.5,5.1,2.9,1024,1024,1024,1024,0,0,0,0,63,4.149,69.98,167.979008,P-GPS,,51.2
