index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
79,472700,2026-01-07 15:41:46,0.0,5,7.13,0.0,0.0,-4.47388,7.7,7.6,1.2,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,34.120736,P-GPS,,10.4
80,472800,2026-01-07 15:41:46,0.0,5,7.13,0.0,0.0,-4.47388,7.8,8.2,1.4,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,34.776904,P-GPS,,10.6
81,472900,2026-01-07 15:41:46,0.0,5,7.13,0.0,0.0,-4.250186,7.8,7.7,1.2,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,35.104988,P-GPS,,10.7
82,473000,2026-01-07 15:41:46,0.0,5,7.13,0.0,0.0,-3.579104,7.7,7.4,0.9,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,35.761156,P-GPS,,10.9
83,473100,2026-01-07 15:41:47,0.223694,5,7.13,-0.223694,0.0,-2.908022,7.6,6.8,1.1,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.08924,P-GPS,,11.0
84,473200,2026-01-07 15:41:47,0.223694,5,7.13,-0.223694,0.0,-2.23694,7.6,6.3,1.1,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.417324,P-GPS,,11.1
85,473300,2026-01-07 15:41:47,0.0,5,7.13,0.0,0.0,-1.565858,7.6,6.3,1.2,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.417324,P-GPS,,11.1
86,473400,2026-01-07 15:41:47,0.0,5,7.13,0.0,0.0,-0.671082,7.7,6.3,1.3,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.417324,P-GPS,,11.1
87,473500,2026-01-07 15:41:47,0.0,5,7.13,0.0,0.0,-0.223694,7.7,6.4,1.6,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.417324,P-GPS,,11.1
88,473600,2026-01-07 15:41:47,0.0,5,7.13,0.0,0.0,0.0,7.8,5.9,1.7,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.417324,P-GPS,,11.1
89,473700,2026-01-07 15:41:47,0.0,5,7.13,0.0,0.0,0.0,7.8,6.1,1.2,1024,1024,1024,1024,0,0,0,0,47,6.372,75.2,36.417324,P-GPS,,11.1
