index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
433,324300,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.2,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,98.753284,P-GPS,,30.1
434,324400,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.6,-2.6,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,98.753284,P-GPS,,30.1
435,324500,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.5,-2.6,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,98.753284,P-GPS,,30.1
436,324600,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.6,-2.5,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,98.753284,P-GPS,,30.1
437,324700,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.4,-2.5,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,98.753284,P-GPS,,30.1
438,324800,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.7,-2.5,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
439,324900,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.3,-2.5,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
440,325000,2026-01-09 20:12:12,0.0,5,7.6,0.0,0.0,0.0,11.7,4.3,-2.4,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
441,325100,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.7,4.2,-2.4,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
442,325200,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.6,4.3,-2.3,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
443,325300,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.6,4.3,-2.3,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
444,325400,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.6,4.1,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
445,325500,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.6,4.1,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
446,325600,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.7,3.8,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
447,325700,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.7,3.5,-2.1,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
448,325800,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.7,3.5,-2.1,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
449,325900,2026-01-09 20:12:13,0.0,5,7.6,0.0,0.0,0.0,11.7,3.5,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
450,326000,2026-01-09 20:12:14,0.0,5,7.6,0.0,0.0,0.0,11.7,3.4,-2.1,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
451,326100,2026-01-09 20:12:14,0.0,5,7.6,0.0,0.0,0.0,11.8,3.4,-2.0,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
452,326200,2026-01-09 20:12:14,0.0,5,7.6,0.0,0.0,0.0,11.9,3.2,-2.0,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
453,326300,2026-01-09 20:12:14,0.0,5,7.6,0.0,0.0,0.0,11.8,3.2,-2.0,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
454,326400,2026-01-09 20:12:14,0.0,5,7.6,0.0,0.0,0.0,11.8,3.2,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.026,73.76,99.081368,P-GPS,,30.2
455,326500,2026-01-09 20:12:14,0.0,5,7.595,0.0,0.0,0.0,11.8,3.1,-2.0,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
456,326600,2026-01-09 20:12:14,0.0,5,7.595,0.0,0.0,0.0,11.8,3.3,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
457,326700,2026-01-09 20:12:14,0.0,5,7.595,0.0,0.0,0.0,11.7,3.5,-2.2,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
458,326800,2026-01-09 20:12:14,0.0,5,7.595,0.0,0.0,0.0,11.7,3.7,-2.0,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
459,326900,2026-01-09 20:12:14,0.0,5,7.595,0.0,0.0,0.0,11.7,3.4,-1.9,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
460,327000,2026-01-09 20:12:14,0.0,5,7.595,0.0,0.0,0.0,11.7,3.4,-1.8,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
461,327100,2026-01-09 20:12:15,0.0,5,7.595,0.0,0.0,0.0,11.6,3.4,-1.6,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
462,327200,2026-01-09 20:12:15,0.0,5,7.595,0.0,0.0,0.0,11.5,3.6,-1.5,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
463,327300,2026-01-09 20:12:15,0.0,5,7.595,0.0,0.0,0.0,11.5,3.6,-1.3,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
464,327400,2026-01-09 20:12:15,0.0,5,7.595,0.0,0.0,0.0,11.6,3.6,-1.2,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,99.081368,P-GPS,,30.2
465,327500,2026-01-09 20:12:15,0.0,5,7.595,0.0,0.0,0.0,11.5,3.6,-1.2,1024,1024,1024,1024,0,0,0,0,77,4.727,73.76,98.753284,P-GPS,,30.1
466,327600,2026-01-09 20:12:15,0.0,5,7.593,0.0,0.0,0.0,11.6,3.6,-1.2,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
467,327700,2026-01-09 20:12:15,0.0,5,7.593,0.0,0.0,0.0,11.5,3.6,-1.2,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
468,327800,2026-01-09 20:12:15,0.0,5,7.593,0.0,0.0,0.0,11.5,3.9,-1.2,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
469,327900,2026-01-09 20:12:15,0.0,5,7.593,0.0,0.0,0.0,11.5,4.1,-1.2,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
470,328000,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.5,4.2,-1.1,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
471,328100,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.6,4.2,-1.0,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
472,328200,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.6,4.1,-0.9,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
473,328300,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.6,4.1,-1.0,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
474,328400,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.6,4.0,-1.0,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
475,328500,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.5,3.9,-1.0,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
476,328600,2026-01-09 20:12:16,0.0,5,7.593,0.0,0.0,0.0,11.6,3.8,-1.0,1024,1024,1024,1024,0,0,0,0,77,4.868,73.76,98.753284,P-GPS,,30.1
477,328700,2026-01-09 20:12:16,0.0,5,7.588,0.0,0.0,0.0,11.6,3.6,-1.0,1024,1024,1024,1024,0,0,0,0,77,4.878,73.76,98.753284,P-GPS,,30.1
