index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
478,47800,2026-01-09 12:37:32,0.223694,5,7.754,-0.223694,0.0,0.0,26.1,-6.2,-13.7,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
479,47900,2026-01-09 12:37:33,0.223694,5,7.754,-0.223694,0.0,0.0,26.1,-6.6,-14.0,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
480,48000,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,0.0,26.1,-6.9,-13.8,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
481,48100,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,0.0,26.1,-6.7,-13.2,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
482,48200,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,0.0,26.0,-6.5,-12.6,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
483,48300,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,-0.223694,26.0,-6.3,-12.4,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
484,48400,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,-0.223694,26.1,-6.8,-12.6,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
485,48500,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,-0.223694,25.9,-6.4,-12.6,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
486,48600,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,0.0,25.9,-6.1,-11.8,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
487,48700,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,0.0,25.8,-5.9,-11.9,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
488,48800,2026-01-09 12:37:33,0.0,5,7.754,0.0,0.0,0.0,25.7,-5.7,-11.8,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,101.049872,P-GPS,,30.8
489,48900,2026-01-09 12:37:34,0.223694,5,7.754,0.223694,0.0,0.0,25.7,-5.1,-11.8,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,100.721788,P-GPS,,30.7
490,49000,2026-01-09 12:37:34,0.223694,5,7.754,0.223694,0.0,0.0,25.7,-4.9,-11.3,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,100.721788,P-GPS,,30.7
491,49100,2026-01-09 12:37:34,0.223694,5,7.754,0.223694,0.0,0.0,25.6,-4.7,-11.1,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,100.721788,P-GPS,,30.7
492,49200,2026-01-09 12:37:34,0.223694,5,7.754,0.223694,0.0,0.0,25.6,-4.7,-11.5,1024,1024,1024,1024,0,0,0,0,96,6.099,63.5,100.721788,P-GPS,,30.7
