index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
85,448800,2026-01-11 15:37:40,0.0,5,7.492,0.0,0.0,0.0,12.5,1.8,-3.2,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,35.761156,P-GPS,,10.9
86,448900,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.6,1.7,-3.7,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,35.761156,P-GPS,,10.9
87,449000,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.7,1.5,-4.0,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,35.761156,P-GPS,,10.9
88,449100,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.6,1.9,-4.1,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,36.08924,P-GPS,,11.0
89,449200,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.5,2.4,-3.5,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,36.08924,P-GPS,,11.0
90,449300,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.6,2.2,-3.3,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,36.08924,P-GPS,,11.0
91,449400,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.6,1.7,-3.3,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,36.08924,P-GPS,,11.0
92,449500,2026-01-11 15:37:41,0.0,5,7.492,0.0,0.0,0.0,12.5,1.2,-3.1,1024,1024,1024,1024,0,0,0,0,70,4.693,65.12,36.08924,P-GPS,,11.0
93,449600,2026-01-11 15:37:41,0.0,5,7.446,0.0,0.0,0.0,12.4,1.6,-3.2,1024,1024,1024,1024,0,0,0,0,70,4.819,65.12,36.08924,P-GPS,,11.0
94,449700,2026-01-11 15:37:41,0.0,5,7.446,0.0,0.0,0.0,12.4,1.3,-3.2,1024,1024,1024,1024,0,0,0,0,70,4.819,65.12,36.417324,P-GPS,,11.1
