index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
86,149300,2026-01-13 12:22:05,0.0,5,7.871,0.0,0.0,0.0,11.0,2.5,-1.6,1024,1024,1024,1024,0,0,0,0,89,4.496,68.18,36.417324,P-GPS,,11.1
87,149400,2026-01-13 12:22:05,0.0,5,7.871,0.0,0.0,0.0,11.0,2.5,-1.6,1024,1024,1024,1024,0,0,0,0,89,4.496,68.18,36.417324,P-GPS,,11.1
88,149500,2026-01-13 12:22:06,0.0,5,7.871,0.0,0.0,0.0,10.9,2.9,-1.7,1024,1024,1024,1024,0,0,0,0,89,4.496,68.18,36.417324,P-GPS,,11.1
89,149600,2026-01-13 12:22:06,0.0,5,7.871,0.0,0.0,0.0,10.9,2.3,-1.7,1024,1024,1024,1024,0,0,0,0,89,4.496,68.18,36.417324,P-GPS,,11.1
90,149700,2026-01-13 12:22:06,0.0,5,7.871,0.0,0.0,0.0,10.9,2.3,-1.7,1024,1024,1024,1024,0,0,0,0,89,4.496,68.18,36.745408,P-GPS,,11.2
91,149800,2026-01-13 12:22:06,0.0,5,7.871,0.0,0.0,0.0,10.8,1.6,-2.1,1024,1024,1024,1024,0,0,0,0,89,4.496,68.18,36.745408,P-GPS,,11.2
92,149900,2026-01-13 12:22:06,0.0,5,7.815,0.0,0.0,0.0,10.7,1.7,-2.1,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
93,150000,2026-01-13 12:22:06,0.0,5,7.815,0.0,0.0,0.0,10.7,1.5,-1.8,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
94,150100,2026-01-13 12:22:06,0.0,5,7.815,0.0,0.0,0.0,10.8,1.3,-2.1,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
95,150200,2026-01-13 12:22:06,0.0,5,7.815,0.0,0.0,0.0,10.9,0.9,-2.0,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
96,150300,2026-01-13 12:22:06,0.0,5,7.815,0.0,0.0,0.0,10.9,0.8,-2.2,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
97,150400,2026-01-13 12:22:06,0.0,5,7.815,0.0,0.0,0.0,10.9,0.9,-2.4,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
98,150500,2026-01-13 12:22:07,0.0,5,7.815,0.0,0.0,0.0,10.8,0.9,-1.7,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
99,150600,2026-01-13 12:22:07,0.0,5,7.815,0.0,0.0,0.0,10.8,0.4,-1.6,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
100,150700,2026-01-13 12:22:07,0.0,5,7.815,0.0,0.0,0.0,10.8,1.2,-1.5,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
101,150800,2026-01-13 12:22:07,0.0,5,7.815,0.0,0.0,0.0,10.8,1.4,-2.0,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,36.745408,P-GPS,,11.2
102,150900,2026-01-13 12:22:07,0.0,5,7.815,0.0,0.0,0.0,10.9,1.3,-2.1,1024,1024,1024,1024,0,0,0,0,89,4.358,68.36,37.073492,P-GPS,,11.3
103,151000,2026-01-13 12:22:07,0.0,5,7.803,0.0,0.0,0.0,11.0,2.0,-2.3,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
104,151100,2026-01-13 12:22:07,0.0,5,7.803,0.0,0.0,0.0,10.9,2.6,-2.5,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
105,151200,2026-01-13 12:22:07,0.0,5,7.803,0.0,0.0,0.0,10.8,2.8,-2.7,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
106,151300,2026-01-13 12:22:07,0.0,5,7.803,0.0,0.0,0.0,10.7,2.5,-2.6,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
107,151400,2026-01-13 12:22:07,0.0,5,7.803,0.0,0.0,0.0,10.7,2.5,-2.3,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
108,151500,2026-01-13 12:22:08,0.0,5,7.803,0.0,0.0,0.0,10.7,2.1,-2.1,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
109,151600,2026-01-13 12:22:08,0.0,5,7.803,0.0,0.0,0.0,10.7,1.9,-1.9,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
110,151700,2026-01-13 12:22:08,0.0,5,7.803,0.0,0.0,0.0,10.7,2.0,-1.7,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
111,151800,2026-01-13 12:22:08,0.0,5,7.803,0.0,0.0,0.0,10.7,1.9,-1.5,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
112,151900,2026-01-13 12:22:08,0.0,5,7.803,0.0,0.0,0.0,10.8,2.1,-1.3,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
113,152000,2026-01-13 12:22:08,0.0,5,7.803,0.0,0.0,0.0,10.8,2.6,-1.3,1024,1024,1024,1024,0,0,0,0,89,4.619,68.36,37.073492,P-GPS,,11.3
114,152100,2026-01-13 12:22:08,0.0,5,7.793,0.0,0.0,0.0,10.8,2.4,-1.5,1024,1024,1024,1024,0,0,0,0,89,4.743,68.36,37.073492,P-GPS,,11.3
115,152200,2026-01-13 12:22:08,0.0,5,7.793,0.0,0.0,0.0,10.8,2.0,-1.6,1024,1024,1024,1024,0,0,0,0,89,4.743,68.36,37.073492,P-GPS,,11.3
