time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
683800,2026-01-08 12:40:08,0.0,5,7.206,0.0,0.0,0.0,38.9,8.3,5.7,1024,1024,1024,1024,0,0,0,0,55,6.747,80.96,100.393704,P-GPS,,30.6
683900,2026-01-08 12:40:08,0.0,5,7.206,0.0,0.0,0.0,38.9,8.2,5.6,1024,1024,1024,1024,0,0,0,0,55,6.747,80.96,100.393704,P-GPS,,30.6
684000,2026-01-08 12:40:08,0.0,5,7.31,0.0,0.0,0.0,38.9,8.6,5.0,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,100.393704,P-GPS,,30.6
684100,2026-01-08 12:40:08,0.0,5,7.31,0.0,0.0,0.0,38.9,8.2,4.8,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,100.393704,P-GPS,,30.6
684200,2026-01-08 12:40:08,0.0,5,7.31,0.0,0.0,0.0,38.9,8.0,4.7,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,100.393704,P-GPS,,30.6
684300,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,39.0,7.7,4.5,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,100.721788,P-GPS,,30.7
684400,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,39.1,6.8,4.7,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,100.721788,P-GPS,,30.7
684500,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,39.1,6.0,5.0,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,100.721788,P-GPS,,30.7
684700,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,39.0,5.2,5.3,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,101.049872,P-GPS,,30.8
684800,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,38.9,6.2,4.8,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,101.049872,P-GPS,,30.8
684900,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,38.9,7.5,4.8,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,101.049872,P-GPS,,30.8
685000,2026-01-08 12:40:09,0.0,5,7.31,0.0,0.0,0.0,38.9,7.8,4.8,1024,1024,1024,1024,0,0,0,0,55,4.498,80.96,101.049872,P-GPS,,30.8
685100,2026-01-08 12:40:09,0.0,5,7.311,0.0,0.0,0.0,38.8,7.1,5.3,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,101.049872,P-GPS,,30.8
685200,2026-01-08 12:40:10,0.0,5,7.311,0.0,0.0,0.0,38.9,7.9,5.4,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,101.049872,P-GPS,,30.8
685300,2026-01-08 12:40:10,0.0,5,7.311,0.0,0.0,0.0,38.9,8.6,5.8,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,101.049872,P-GPS,,30.8
685400,2026-01-08 12:40:10,0.223694,5,7.311,0.223694,0.0,0.0,39.0,8.9,6.1,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,101.049872,P-GPS,,30.8
685500,2026-01-08 12:40:10,0.0,5,7.311,0.0,0.0,0.0,38.9,9.1,6.3,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,101.049872,P-GPS,,30.8
685600,2026-01-08 12:40:10,0.223694,5,7.311,0.223694,0.0,0.0,38.9,9.7,6.6,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,101.049872,P-GPS,,30.8
685900,2026-01-08 12:40:10,0.0,5,7.311,0.0,0.0,0.0,39.0,9.8,6.7,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,100.721788,P-GPS,,30.7
686000,2026-01-08 12:40:10,0.0,5,7.311,0.0,0.0,0.0,39.0,10.0,7.0,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,100.721788,P-GPS,,30.7
686100,2026-01-08 12:40:10,0.0,5,7.311,0.0,0.0,0.0,39.0,10.0,6.9,1024,1024,1024,1024,0,0,0,0,55,4.493,80.96,100.721788,P-GPS,,30.7
686200,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.0,9.5,7.1,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
686300,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.1,9.8,7.3,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
686400,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.2,10.8,6.6,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
686500,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.1,11.0,6.1,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
686600,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.1,9.9,6.4,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
686700,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.4,11.3,5.5,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
686800,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.3,11.4,5.4,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
686900,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.1,10.4,5.5,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
687000,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.2,10.4,5.9,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
687100,2026-01-08 12:40:11,0.0,5,7.292,0.0,0.0,0.0,39.2,10.0,6.0,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
687200,2026-01-08 12:40:12,0.0,5,7.292,0.0,0.0,0.0,39.1,8.9,5.5,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
687300,2026-01-08 12:40:12,0.0,5,7.292,0.0,0.0,0.0,39.1,8.7,6.3,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
687500,2026-01-08 12:40:12,0.0,5,7.292,0.0,0.0,0.0,39.3,8.7,7.5,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.393704,P-GPS,,30.6
687600,2026-01-08 12:40:12,0.0,5,7.292,0.0,0.0,0.0,39.3,9.1,7.1,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
687700,2026-01-08 12:40:12,0.223694,5,7.292,0.0,-0.223694,0.0,39.3,8.6,7.4,1024,1024,1024,1024,0,0,0,0,55,4.518,81.14,100.721788,P-GPS,,30.7
