time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
149200,2026-01-09 12:39:22,0.0,5,7.697,0.0,0.0,-4.250186,25.3,0.8,-1.5,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,26.902888,P-GPS,,8.2
149300,2026-01-09 12:39:22,0.0,5,7.697,0.0,0.0,-4.250186,25.3,0.6,-1.4,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,27.559056,P-GPS,,8.4
149400,2026-01-09 12:39:22,0.0,5,7.697,0.0,0.0,-4.250186,25.2,0.4,-1.2,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,28.215224,P-GPS,,8.6
149500,2026-01-09 12:39:22,0.0,5,7.697,0.0,0.0,-4.250186,25.2,0.0,-1.2,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,28.871392,P-GPS,,8.8
149600,2026-01-09 12:39:22,0.0,5,7.697,0.0,0.0,-4.250186,25.3,-0.3,-1.2,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,29.52756,P-GPS,,9.0
149700,2026-01-09 12:39:22,0.223694,5,7.697,-0.223694,0.0,-4.250186,25.5,-1.3,-0.2,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,30.183728,P-GPS,,9.2
149800,2026-01-09 12:39:22,0.0,5,7.697,0.0,0.0,-4.250186,25.4,-0.9,-0.9,1024,1024,1684,1024,0,0,100,0,89,5.977,68.0,30.839896,P-GPS,,9.4
149900,2026-01-09 12:39:22,0.0,5,7.735,0.0,0.0,-4.47388,25.4,-0.7,-1.3,1024,1024,1684,1024,0,0,100,0,89,5.468,68.0,31.496064,P-GPS,,9.6
150000,2026-01-09 12:39:22,0.0,5,7.735,0.0,0.0,-4.47388,25.4,-0.2,-1.2,1024,1024,1684,1024,0,0,100,0,89,5.468,68.0,32.152232,P-GPS,,9.8
150100,2026-01-09 12:39:23,0.0,5,7.735,0.0,0.0,-4.250186,25.5,0.0,-0.8,1024,1024,1684,1024,0,0,100,0,89,5.468,68.0,32.8084,P-GPS,,10.0
