time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
429400,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.250186,38.5,-2.2,-6.0,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,26.574804,P-GPS,,8.1
429500,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.250186,38.6,-3.7,-5.9,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,27.230972,P-GPS,,8.3
429600,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.250186,38.5,-4.3,-4.7,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,27.88714,P-GPS,,8.5
429700,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.47388,38.4,-4.4,-4.4,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,28.543308,P-GPS,,8.7
429800,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.47388,38.4,-3.6,-4.5,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,29.199476,P-GPS,,8.9
429900,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.47388,38.7,-4.5,-4.8,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,30.183728,P-GPS,,9.2
430000,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.47388,38.6,-4.4,-3.9,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,30.839896,P-GPS,,9.4
430100,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.250186,38.4,-3.2,-3.6,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,31.16798,P-GPS,,9.5
430200,2026-01-09 12:44:39,0.0,5,7.497,0.0,0.0,-4.47388,38.5,-3.1,-3.4,1024,1024,1684,1024,0,0,100,0,71,5.767,75.74,31.824148,P-GPS,,9.7
430300,2026-01-09 12:44:39,0.0,5,7.45,0.0,0.0,-4.47388,38.7,-4.0,-3.7,1024,1024,1684,1024,0,0,100,0,71,6.536,75.74,32.480316,P-GPS,,9.9
