time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
365600,2026-01-06 16:47:47,0.0,5,7.132,0.0,0.0,-4.250186,10.4,3.3,-5.2,1024,1024,1684,1024,0,0,100,0,54,6.227,75.38,92.519688,P-GPS,,28.2
365700,2026-01-06 16:47:47,0.0,5,7.132,0.0,0.0,-4.250186,10.3,3.3,-5.1,1024,1024,1684,1024,0,0,100,0,54,6.227,75.38,93.175856,P-GPS,,28.4
365800,2026-01-06 16:47:47,0.0,5,7.122,0.0,0.0,-4.250186,10.3,2.3,-4.1,1024,1024,1684,1024,0,0,100,0,53,6.245,75.38,93.832024,P-GPS,,28.6
365900,2026-01-06 16:47:47,0.0,5,7.122,0.0,0.0,-4.250186,10.3,2.5,-4.3,1024,1024,1684,1024,0,0,100,0,53,6.245,75.38,94.488192,P-GPS,,28.8
366000,2026-01-06 16:47:47,0.0,5,7.122,0.0,0.0,-4.47388,10.5,1.6,-4.5,1024,1024,1684,1024,0,0,100,0,53,6.245,75.38,95.14436,P-GPS,,29.0
366100,2026-01-06 16:47:47,0.0,5,7.122,0.0,0.0,-4.47388,10.4,1.8,-4.7,1024,1024,1684,1024,0,0,100,0,53,6.245,75.38,95.800528,P-GPS,,29.2
366200,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-4.47388,10.4,1.5,-5.2,1024,1024,1684,1024,0,0,100,0,53,6.245,75.38,96.456696,P-GPS,,29.4
366300,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-4.47388,10.4,1.4,-5.6,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,97.112864,P-GPS,,29.6
366400,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-4.47388,10.3,1.4,-5.7,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,97.769032,P-GPS,,29.8
366500,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-4.250186,10.4,1.4,-6.0,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,98.4252,P-GPS,,30.0
366600,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-4.026492,10.2,1.5,-6.6,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,99.081368,P-GPS,,30.2
366700,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-3.35541,10.2,2.3,-6.8,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,99.737536,P-GPS,,30.4
366800,2026-01-06 16:47:48,0.0,5,7.122,0.0,0.0,-2.684328,10.3,2.2,-6.5,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,100.06562,P-GPS,,30.5
366900,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,-2.013246,10.3,1.6,-6.8,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,100.393704,P-GPS,,30.6
367000,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,-1.11847,10.2,1.7,-7.5,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,100.721788,P-GPS,,30.7
367100,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,-0.447388,10.1,2.0,-7.7,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,100.721788,P-GPS,,30.7
367200,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,-0.223694,10.1,1.7,-7.9,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.049872,P-GPS,,30.8
367300,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.3,0.7,-7.7,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.049872,P-GPS,,30.8
367400,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.3,1.2,-7.8,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.049872,P-GPS,,30.8
367500,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.1,2.5,-7.3,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.049872,P-GPS,,30.8
367600,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.4,2.4,-7.1,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.377956,P-GPS,,30.9
367700,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.4,1.9,-7.1,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.377956,P-GPS,,30.9
367800,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.3,1.8,-7.3,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.377956,P-GPS,,30.9
367900,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.3,2.0,-7.5,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.377956,P-GPS,,30.9
368000,2026-01-06 16:47:49,0.0,5,7.122,0.0,0.0,0.0,10.2,1.9,-7.3,1024,1024,1024,1024,0,0,0,0,53,6.245,75.38,101.377956,P-GPS,,30.9
368100,2026-01-06 16:47:49,0.0,5,7.158,0.0,0.0,0.0,10.1,1.7,-6.9,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.377956,P-GPS,,30.9
368200,2026-01-06 16:47:50,0.0,5,7.158,0.0,0.0,0.0,10.3,1.0,-6.8,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.377956,P-GPS,,30.9
368300,2026-01-06 16:47:50,0.0,5,7.158,0.0,0.0,0.0,10.4,0.8,-7.2,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.377956,P-GPS,,30.9
368400,2026-01-06 16:47:50,0.223694,5,7.158,-0.223694,0.0,0.0,10.6,0.0,-7.4,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.377956,P-GPS,,30.9
368500,2026-01-06 16:47:50,0.223694,5,7.158,-0.223694,0.0,0.0,10.7,-0.7,-7.5,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.377956,P-GPS,,30.9
368600,2026-01-06 16:47:50,0.0,5,7.158,0.0,0.0,0.0,10.5,-0.5,-7.5,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.70604,P-GPS,,31.0
368700,2026-01-06 16:47:50,0.0,5,7.158,0.0,0.0,0.0,10.5,-0.7,-7.8,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.70604,P-GPS,,31.0
368800,2026-01-06 16:47:50,0.223694,5,7.158,-0.223694,0.0,0.0,10.5,-1.0,-8.3,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.70604,P-GPS,,31.0
368900,2026-01-06 16:47:50,0.223694,5,7.158,0.0,0.0,0.0,10.6,-1.0,-8.4,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.70604,P-GPS,,31.0
369000,2026-01-06 16:47:50,0.0,5,7.158,0.0,0.0,0.0,10.8,-1.2,-8.4,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.70604,P-GPS,,31.0
369100,2026-01-06 16:47:50,0.0,5,7.158,0.0,0.0,0.0,10.6,-0.8,-9.3,1024,1024,1024,1024,0,0,0,0,53,5.118,75.38,101.70604,P-GPS,,31.0
369200,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.3,0.0,-8.9,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369300,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.8,-0.4,-8.7,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369400,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.7,-0.1,-9.7,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369500,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.3,1.0,-10.0,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369600,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.2,0.9,-9.4,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369700,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.6,0.6,-8.4,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369800,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.6,0.0,-8.3,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
369900,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.8,-0.3,-8.3,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
370000,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.9,-0.8,-7.9,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
370100,2026-01-06 16:47:51,0.0,5,7.177,0.0,0.0,0.0,10.9,-0.8,-8.0,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
370200,2026-01-06 16:47:52,0.0,5,7.177,0.0,0.0,0.0,10.6,-0.7,-9.3,1024,1024,1024,1024,0,0,0,0,53,5.17,75.56,101.70604,P-GPS,,31.0
370300,2026-01-06 16:47:52,0.0,5,7.182,0.0,0.0,0.0,10.2,1.3,-10.3,1024,1024,1024,1024,0,0,0,0,53,4.978,75.56,101.70604,P-GPS,,31.0
