time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
417700,2026-01-11 17:24:57,0.0,5,7.451,0.0,0.0,-4.250186,38.2,4.7,-2.5,1024,1024,1684,1024,0,0,100,0,72,5.693,62.78,26.902888,P-GPS,,8.2
417800,2026-01-11 17:24:58,0.223694,5,7.451,0.0,-0.223694,-4.250186,38.0,3.7,-1.4,1024,1024,1684,1024,0,0,100,0,72,5.693,62.78,27.559056,P-GPS,,8.4
417900,2026-01-11 17:24:58,0.223694,5,7.451,0.0,-0.223694,-4.250186,38.0,3.6,-0.9,1024,1024,1684,1024,0,0,100,0,72,5.693,62.78,28.215224,P-GPS,,8.6
418000,2026-01-11 17:24:58,0.223694,5,7.451,0.0,-0.223694,-4.250186,38.1,3.1,0.3,1024,1024,1684,1024,0,0,100,0,72,5.693,62.78,28.871392,P-GPS,,8.8
418100,2026-01-11 17:24:58,0.0,5,7.451,0.0,0.0,-4.250186,37.9,3.6,0.8,1024,1024,1684,1024,0,0,100,0,72,5.693,62.78,29.52756,P-GPS,,9.0
418200,2026-01-11 17:24:58,0.0,5,7.451,0.223694,0.0,-4.250186,37.6,5.0,1.0,1024,1024,1684,1024,0,0,100,0,72,5.693,62.78,30.183728,P-GPS,,9.2
418300,2026-01-11 17:24:58,0.0,5,7.443,0.0,0.0,-4.026492,37.9,6.6,1.1,1024,1024,1684,1024,0,0,100,0,71,5.449,62.78,30.839896,P-GPS,,9.4
418400,2026-01-11 17:24:58,0.0,5,7.443,0.0,0.0,-4.026492,38.2,5.3,1.2,1024,1024,1684,1024,0,0,100,0,71,5.449,62.78,31.496064,P-GPS,,9.6
418500,2026-01-11 17:24:58,0.0,5,7.443,0.0,0.0,-4.250186,38.5,4.5,0.3,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,32.152232,P-GPS,,9.8
418600,2026-01-11 17:24:58,0.0,5,7.443,0.0,0.0,-4.250186,38.5,4.3,-0.5,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,32.8084,P-GPS,,10.0
418700,2026-01-11 17:24:58,0.223694,5,7.443,0.0,0.223694,-4.250186,38.4,5.2,-1.2,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,33.464568,P-GPS,,10.2
418800,2026-01-11 17:24:59,0.223694,5,7.443,0.0,0.223694,-4.026492,38.1,5.2,-1.9,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,34.120736,P-GPS,,10.4
418900,2026-01-11 17:24:59,0.223694,5,7.443,0.0,0.223694,-3.579104,38.0,5.8,-2.7,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,34.776904,P-GPS,,10.6
419000,2026-01-11 17:24:59,0.223694,5,7.443,0.0,0.223694,-2.908022,38.0,6.4,-2.8,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,35.433072,P-GPS,,10.8
419100,2026-01-11 17:24:59,0.223694,5,7.443,0.0,0.223694,-2.23694,38.0,6.7,-2.6,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,35.761156,P-GPS,,10.9
419200,2026-01-11 17:24:59,0.3131716,5,7.443,0.223694,0.223694,-1.565858,37.9,7.7,-2.7,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,36.08924,P-GPS,,11.0
419300,2026-01-11 17:24:59,0.3131716,5,7.443,0.223694,0.223694,-0.894776,37.8,8.9,-2.2,1024,1024,1024,1024,0,0,0,0,71,5.449,62.78,36.08924,P-GPS,,11.0
