time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
43900,2026-01-11 17:18:27,0.223694,5,7.511,0.0,0.223694,-4.026492,16.6,15.3,-4.7,1024,1024,1684,1024,0,0,100,0,96,7.44,57.2,92.191604,P-GPS,,28.1
44000,2026-01-11 17:18:27,0.223694,5,7.511,0.0,0.223694,-4.47388,16.5,14.1,-5.4,1024,1024,1684,1024,0,0,100,0,96,7.44,57.2,92.847772,P-GPS,,28.3
44100,2026-01-11 17:18:27,0.223694,5,7.511,0.0,0.223694,-4.47388,16.3,14.1,-6.2,1024,1024,1684,1024,0,0,100,0,96,7.44,57.2,93.832024,P-GPS,,28.6
44200,2026-01-11 17:18:27,0.3131716,5,7.511,-0.223694,0.223694,-4.47388,16.4,13.1,-6.7,1024,1024,1684,1024,0,0,100,0,96,7.44,57.2,94.488192,P-GPS,,28.8
44300,2026-01-11 17:18:27,0.223694,5,7.511,-0.223694,0.0,-4.697574,16.5,11.4,-6.6,1024,1024,1684,1024,0,0,100,0,96,7.44,57.2,95.14436,P-GPS,,29.0
44400,2026-01-11 17:18:27,0.223694,5,7.511,-0.223694,0.0,-4.697574,16.4,10.9,-6.5,1024,1024,1684,1024,0,0,100,0,96,7.44,57.2,95.800528,P-GPS,,29.2
44500,2026-01-11 17:18:27,0.223694,5,7.511,-0.223694,0.0,-4.47388,16.4,10.6,-6.3,1024,1024,1024,1024,0,0,0,0,96,7.44,57.2,96.456696,P-GPS,,29.4
44600,2026-01-11 17:18:28,0.223694,5,7.572,-0.223694,0.0,-4.47388,16.6,8.5,-5.1,1024,1024,1024,1024,0,0,0,0,96,6.737,57.2,97.112864,P-GPS,,29.6
44700,2026-01-11 17:18:28,0.223694,5,7.572,-0.223694,0.0,-4.47388,16.5,8.4,-5.1,1024,1024,1024,1024,0,0,0,0,96,6.737,57.2,97.769032,P-GPS,,29.8
44800,2026-01-11 17:18:28,0.223694,5,7.572,-0.223694,0.0,-4.250186,16.5,8.2,-5.4,1024,1024,1024,1024,0,0,0,0,96,6.737,57.2,98.4252,P-GPS,,30.0
44900,2026-01-11 17:18:28,0.0,5,7.572,0.0,0.0,-3.579104,16.3,9.2,-6.5,1024,1024,1024,1024,0,0,0,0,96,6.737,57.2,99.081368,P-GPS,,30.2
