time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
313500,2026-01-07 15:38:29,0.0,5,7.285,0.0,0.0,0.0,38.2,4.0,2.4,1024,1024,1024,1024,0,0,0,0,58,5.822,72.5,35.761156,P-GPS,,10.9
313600,2026-01-07 15:38:29,0.0,5,7.285,0.0,0.0,0.0,38.1,4.2,2.4,1024,1024,1024,1024,0,0,0,0,58,5.822,72.5,35.761156,P-GPS,,10.9
313700,2026-01-07 15:38:29,0.0,5,7.285,0.0,0.0,0.0,38.1,3.7,2.8,1024,1024,1024,1024,0,0,0,0,58,5.822,72.5,35.761156,P-GPS,,10.9
313800,2026-01-07 15:38:29,0.0,5,7.285,0.0,0.0,0.0,38.1,3.4,2.9,1024,1024,1024,1024,0,0,0,0,58,5.822,72.5,35.433072,P-GPS,,10.8
313900,2026-01-07 15:38:29,0.0,5,7.285,0.0,0.0,0.0,38.1,3.9,2.5,1024,1024,1024,1024,0,0,0,0,58,5.822,72.5,35.433072,P-GPS,,10.8
314000,2026-01-07 15:38:29,0.0,5,7.329,0.0,0.0,0.0,38.2,3.8,2.3,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.433072,P-GPS,,10.8
314100,2026-01-07 15:38:29,0.0,5,7.329,0.0,0.0,0.0,38.2,3.7,2.2,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.433072,P-GPS,,10.8
314200,2026-01-07 15:38:29,0.0,5,7.329,0.0,0.0,0.0,38.2,3.6,2.2,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.433072,P-GPS,,10.8
314300,2026-01-07 15:38:29,0.0,5,7.329,0.0,0.0,0.0,38.2,3.5,2.1,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.433072,P-GPS,,10.8
314400,2026-01-07 15:38:29,0.0,5,7.329,0.0,0.0,0.0,38.1,3.0,1.1,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.104988,P-GPS,,10.7
314500,2026-01-07 15:38:29,0.0,5,7.329,0.0,0.0,0.0,38.0,2.2,1.2,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.104988,P-GPS,,10.7
314600,2026-01-07 15:38:30,0.0,5,7.329,0.0,0.0,0.0,38.1,2.2,1.3,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.104988,P-GPS,,10.7
314700,2026-01-07 15:38:30,0.0,5,7.329,0.0,0.0,0.0,38.0,2.6,1.2,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.104988,P-GPS,,10.7
314800,2026-01-07 15:38:30,0.0,5,7.329,0.0,0.0,0.0,37.9,2.7,1.2,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.104988,P-GPS,,10.7
314900,2026-01-07 15:38:30,0.0,5,7.329,0.0,0.0,0.0,38.0,3.1,1.7,1024,1024,1024,1024,0,0,0,0,58,4.708,72.5,35.104988,P-GPS,,10.7
