time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
482200,2026-01-11 15:38:14,0.0,5,7.343,0.0,0.0,-4.250186,12.4,9.8,-2.2,1024,1024,1684,1024,0,0,100,0,68,6.251,66.02,92.191604,P-GPS,,28.1
482300,2026-01-11 15:38:14,0.0,5,7.343,0.0,0.0,-4.47388,12.3,9.5,-2.2,1024,1024,1684,1024,0,0,100,0,68,6.251,66.02,92.847772,P-GPS,,28.3
482400,2026-01-11 15:38:14,0.0,5,7.343,0.0,0.0,-4.250186,12.4,8.9,-2.0,1024,1024,1684,1024,0,0,100,0,68,6.251,66.02,93.50394,P-GPS,,28.5
482500,2026-01-11 15:38:14,0.0,5,7.343,0.0,0.0,-4.47388,12.6,8.1,-1.5,1024,1024,1684,1024,0,0,100,0,68,6.251,66.02,94.160108,P-GPS,,28.7
482600,2026-01-11 15:38:14,0.0,5,7.335,0.0,0.0,-4.47388,12.5,7.5,-1.7,1024,1024,1684,1024,0,0,100,0,68,6.007,66.2,94.816276,P-GPS,,28.9
482700,2026-01-11 15:38:14,0.0,5,7.335,0.0,0.0,-4.47388,12.4,7.8,-2.0,1024,1024,1024,1024,0,0,0,0,68,6.007,66.2,95.472444,P-GPS,,29.1
482800,2026-01-11 15:38:14,0.0,5,7.335,0.0,0.0,-4.47388,12.4,8.7,-1.5,1024,1024,1024,1024,0,0,0,0,68,6.007,66.2,96.456696,P-GPS,,29.4
482900,2026-01-11 15:38:15,0.0,5,7.335,0.0,0.0,-4.47388,12.6,9.2,-0.2,1024,1024,1024,1024,0,0,0,0,68,6.007,66.2,97.112864,P-GPS,,29.6
483000,2026-01-11 15:38:15,0.0,5,7.335,0.0,0.0,-4.026492,12.4,10.6,-1.2,1024,1024,1024,1024,0,0,0,0,68,6.007,66.2,97.769032,P-GPS,,29.8
483100,2026-01-11 15:38:15,0.223694,5,7.335,0.0,0.223694,-3.131716,12.4,11.3,-1.7,1024,1024,1024,1024,0,0,0,0,68,6.007,66.2,98.097116,P-GPS,,29.9
483200,2026-01-11 15:38:15,0.223694,5,7.335,0.0,0.223694,-2.23694,12.4,10.3,-2.9,1024,1024,1024,1024,0,0,0,0,68,6.007,66.2,98.753284,P-GPS,,30.1
