index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
384,38400,2026-01-07 12:28:39,0.0,5,7.657,0.0,0.0,0.0,320.2,9.6,1.3,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,100.06562,P-GPS,,30.5
385,38500,2026-01-07 12:28:39,0.0,5,7.657,0.0,0.0,0.0,320.1,9.2,1.6,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,100.06562,P-GPS,,30.5
386,38600,2026-01-07 12:28:39,0.0,5,7.657,0.0,0.0,0.0,320.2,9.1,2.3,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,100.06562,P-GPS,,30.5
387,38700,2026-01-07 12:28:39,0.0,5,7.657,0.0,0.0,0.0,320.2,8.7,2.1,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,100.06562,P-GPS,,30.5
388,38800,2026-01-07 12:28:39,0.0,5,7.657,0.0,0.0,0.0,320.2,8.6,2.0,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,99.737536,P-GPS,,30.4
389,38900,2026-01-07 12:28:39,0.0,5,7.657,0.0,0.0,0.0,320.2,8.9,2.0,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,99.737536,P-GPS,,30.4
390,39000,2026-01-07 12:28:40,0.0,5,7.657,0.0,0.0,0.0,320.2,8.7,2.0,1024,1024,1024,1024,0,0,0,0,92,6.537,66.92,99.737536,P-GPS,,30.4
391,39100,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.2,9.4,1.9,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
392,39200,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.2,9.6,1.9,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
393,39300,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.2,9.8,1.9,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
394,39400,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.3,9.5,1.5,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
395,39500,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.3,9.7,1.3,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
396,39600,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.3,9.2,0.9,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
397,39700,2026-01-07 12:28:40,0.223694,5,7.838,0.0,0.223694,0.0,320.2,8.5,0.4,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
398,39800,2026-01-07 12:28:40,0.223694,5,7.838,0.0,0.223694,0.0,320.2,7.7,0.1,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
399,39900,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.3,6.8,0.3,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
400,40000,2026-01-07 12:28:40,0.0,5,7.838,0.0,0.0,0.0,320.2,7.0,0.3,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
401,40100,2026-01-07 12:28:41,0.0,5,7.838,0.0,0.0,0.0,320.2,7.4,0.6,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
402,40200,2026-01-07 12:28:41,0.0,5,7.838,0.0,0.0,0.0,320.2,7.9,1.0,1024,1024,1024,1024,0,0,0,0,92,4.717,66.92,99.737536,P-GPS,,30.4
403,40300,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.3,8.5,1.9,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
404,40400,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.3,8.3,2.3,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
405,40500,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.4,8.7,1.9,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
406,40600,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.3,7.9,1.6,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
407,40700,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.3,8.1,1.0,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
408,40800,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.2,8.0,0.6,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
409,40900,2026-01-07 12:28:41,0.0,5,7.779,0.0,0.0,0.0,320.2,7.8,0.0,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
410,41000,2026-01-07 12:28:42,0.0,5,7.779,0.0,0.0,0.0,320.2,8.4,0.0,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
411,41100,2026-01-07 12:28:42,0.0,5,7.779,0.0,0.0,0.0,320.3,8.7,0.2,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
412,41200,2026-01-07 12:28:42,0.0,5,7.779,0.0,0.0,0.0,320.3,8.5,0.3,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
413,41300,2026-01-07 12:28:42,0.0,5,7.779,0.0,0.0,0.0,320.4,8.6,0.0,1024,1024,1024,1024,0,0,0,0,92,4.823,66.92,99.737536,P-GPS,,30.4
414,41400,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.2,8.7,-0.3,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
415,41500,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.2,8.3,-0.2,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
416,41600,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.1,8.3,-0.6,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
417,41700,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.1,8.7,-0.2,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
418,41800,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.1,7.9,-0.3,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
419,41900,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.3,8.0,0.9,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
420,42000,2026-01-07 12:28:42,0.0,5,7.741,0.0,0.0,0.0,320.3,7.0,0.7,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
421,42100,2026-01-07 12:28:43,0.0,5,7.741,0.0,0.0,0.0,320.5,7.2,0.6,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
422,42200,2026-01-07 12:28:43,0.0,5,7.741,0.0,0.0,0.0,320.7,7.2,0.3,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
423,42300,2026-01-07 12:28:43,0.0,5,7.741,0.0,0.0,0.0,320.6,7.6,-0.4,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
424,42400,2026-01-07 12:28:43,0.0,5,7.741,0.0,0.0,0.0,320.3,8.3,-1.7,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
425,42500,2026-01-07 12:28:43,0.0,5,7.741,0.0,0.0,0.0,320.1,8.5,-2.1,1024,1024,1024,1024,0,0,0,0,92,5.222,66.92,99.737536,P-GPS,,30.4
426,42600,2026-01-07 12:28:43,0.0,5,7.737,0.0,0.0,0.0,320.0,7.7,-1.7,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
427,42700,2026-01-07 12:28:43,0.0,5,7.737,0.0,0.0,0.0,320.1,7.5,-1.0,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
428,42800,2026-01-07 12:28:43,0.0,5,7.737,0.0,0.0,0.0,320.2,7.4,-0.6,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
429,42900,2026-01-07 12:28:43,0.0,5,7.737,0.0,0.0,0.0,320.4,7.8,0.2,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
430,43000,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.3,7.5,-0.1,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
431,43100,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.2,8.1,0.0,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
432,43200,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.2,8.4,0.0,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
433,43300,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.2,8.8,0.3,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
434,43400,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.2,8.5,0.3,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
435,43500,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.3,8.7,0.1,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
436,43600,2026-01-07 12:28:44,0.0,5,7.737,0.0,0.0,0.0,320.3,8.7,0.4,1024,1024,1024,1024,0,0,0,0,92,5.281,67.1,99.737536,P-GPS,,30.4
437,43700,2026-01-07 12:28:44,0.0,5,7.713,0.0,0.0,0.0,320.3,8.5,0.9,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.737536,P-GPS,,30.4
438,43800,2026-01-07 12:28:44,0.0,5,7.713,0.0,0.0,0.0,320.3,7.5,0.5,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.737536,P-GPS,,30.4
439,43900,2026-01-07 12:28:44,0.0,5,7.713,0.0,0.0,0.0,320.3,7.4,0.7,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.737536,P-GPS,,30.4
440,44000,2026-01-07 12:28:44,0.0,5,7.713,0.0,0.0,0.0,320.3,7.6,0.5,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.737536,P-GPS,,30.4
441,44100,2026-01-07 12:28:45,0.0,5,7.713,0.0,0.0,0.0,320.3,7.6,0.6,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
442,44200,2026-01-07 12:28:45,0.0,5,7.713,0.0,0.0,0.0,320.3,7.2,0.6,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
443,44300,2026-01-07 12:28:45,0.0,5,7.713,0.0,0.0,0.0,320.3,6.8,0.9,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
444,44400,2026-01-07 12:28:45,0.223694,5,7.713,-0.223694,0.0,0.0,320.2,6.1,0.5,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
445,44500,2026-01-07 12:28:45,0.223694,5,7.713,-0.223694,0.0,0.0,320.3,6.3,0.8,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
446,44600,2026-01-07 12:28:45,0.223694,5,7.713,-0.223694,0.0,0.0,320.2,6.4,1.6,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
447,44700,2026-01-07 12:28:45,0.223694,5,7.713,-0.223694,0.0,0.0,320.2,6.2,1.8,1024,1024,1024,1024,0,0,0,0,92,5.274,67.1,99.409452,P-GPS,,30.3
448,44800,2026-01-07 12:28:45,0.223694,5,7.754,-0.223694,0.0,0.0,320.3,6.3,1.7,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
449,44900,2026-01-07 12:28:45,0.0,5,7.754,0.0,0.0,0.0,320.3,5.9,1.7,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
450,45000,2026-01-07 12:28:46,0.0,5,7.754,0.0,0.0,0.0,320.2,5.5,1.9,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
451,45100,2026-01-07 12:28:46,0.0,5,7.754,0.0,0.0,0.0,320.3,5.6,1.5,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
452,45200,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.3,5.6,1.0,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
453,45300,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.3,5.4,1.0,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
454,45400,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.3,4.4,0.8,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
455,45500,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.2,4.5,0.6,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
456,45600,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.2,4.6,0.3,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
457,45700,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.2,4.5,0.0,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
458,45800,2026-01-07 12:28:46,0.223694,5,7.754,0.0,0.223694,0.0,320.1,3.9,-0.1,1024,1024,1024,1024,0,0,0,0,92,5.017,67.1,99.409452,P-GPS,,30.3
459,45900,2026-01-07 12:28:46,0.0,5,7.755,0.0,0.0,0.0,320.0,3.2,0.1,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
460,46000,2026-01-07 12:28:46,0.0,5,7.755,0.0,0.0,0.0,319.9,3.0,0.1,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
461,46100,2026-01-07 12:28:47,0.0,5,7.755,0.0,0.0,0.0,319.8,3.1,-0.1,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
462,46200,2026-01-07 12:28:47,0.0,5,7.755,0.0,0.0,0.0,319.9,3.6,0.4,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
463,46300,2026-01-07 12:28:47,0.223694,5,7.755,0.223694,0.0,0.0,320.0,3.5,-0.4,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
464,46400,2026-01-07 12:28:47,0.223694,5,7.755,0.223694,0.0,0.0,319.9,4.7,-0.6,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
465,46500,2026-01-07 12:28:47,0.223694,5,7.755,0.223694,0.0,0.0,320.0,5.4,-0.8,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
466,46600,2026-01-07 12:28:47,0.447388,5,7.755,0.447388,0.0,0.0,320.0,5.6,-0.8,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
467,46700,2026-01-07 12:28:47,0.447388,5,7.755,0.447388,0.0,0.0,320.0,5.9,-2.6,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
468,46800,2026-01-07 12:28:47,0.447388,5,7.755,0.447388,0.0,0.0,320.0,6.1,-3.2,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
469,46900,2026-01-07 12:28:47,0.223694,5,7.755,0.223694,0.0,0.0,320.0,6.4,-4.0,1024,1024,1024,1024,0,0,0,0,92,4.992,67.1,99.409452,P-GPS,,30.3
470,47000,2026-01-07 12:28:48,0.447388,5,7.766,0.447388,0.0,0.0,319.9,7.4,-3.7,1024,1024,1024,1024,0,0,0,0,92,4.493,67.1,99.409452,P-GPS,,30.3
471,47100,2026-01-07 12:28:48,0.223694,5,7.766,0.223694,0.0,0.0,319.9,7.6,-4.3,1024,1024,1024,1024,0,0,0,0,92,4.493,67.1,99.409452,P-GPS,,30.3
472,47200,2026-01-07 12:28:48,0.223694,5,7.766,0.223694,0.0,0.0,320.0,7.2,-3.9,1024,1024,1024,1024,0,0,0,0,92,4.493,67.1,99.409452,P-GPS,,30.3
473,47300,2026-01-07 12:28:48,0.0,5,7.766,0.0,0.0,0.0,320.1,5.2,-3.7,1024,1024,1024,1024,0,0,0,0,92,4.493,67.1,99.737536,P-GPS,,30.4
474,47400,2026-01-07 12:28:48,0.0,5,7.766,0.0,0.0,-0.223694,320.1,4.7,-3.9,1024,1024,1024,1024,0,0,0,0,92,4.493,67.1,99.737536,P-GPS,,30.4
475,47500,2026-01-07 12:28:48,0.223694,5,7.766,0.0,-0.223694,-0.223694,319.9,6.2,-3.3,1024,1024,1024,1024,0,0,0,0,92,4.493,67.1,99.737536,P-GPS,,30.4
