time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
669800,2026-01-07 12:43:54,0.0,5,7.106,0.0,0.0,-4.47388,26.9,7.1,2.1,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,158.136488,P-GPS,,48.2
669900,2026-01-07 12:43:54,0.0,5,7.106,0.0,0.0,-4.250186,26.9,7.0,2.1,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,159.12074,P-GPS,,48.5
670000,2026-01-07 12:43:54,0.0,5,7.106,0.0,0.0,-4.250186,26.9,6.3,1.9,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,159.776908,P-GPS,,48.7
670100,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.47388,26.8,6.2,1.5,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,160.433076,P-GPS,,48.9
670200,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.47388,26.8,6.2,1.5,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,161.089244,P-GPS,,49.1
670300,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.47388,26.8,6.5,1.3,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,161.745412,P-GPS,,49.3
670400,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.250186,26.8,6.8,1.2,1024,1024,1684,1024,0,0,100,0,51,6.413,74.66,162.40158,P-GPS,,49.5
670500,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.250186,26.8,6.9,1.6,1024,1024,1024,1024,0,0,0,0,51,6.413,74.66,163.057748,P-GPS,,49.7
670600,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.250186,26.8,6.7,1.7,1024,1024,1024,1024,0,0,0,0,51,6.413,74.66,163.713916,P-GPS,,49.9
670700,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-4.250186,26.8,6.8,1.6,1024,1024,1024,1024,0,0,0,0,51,6.413,74.66,164.370084,P-GPS,,50.1
670800,2026-01-07 12:43:55,0.0,5,7.106,0.0,0.0,-3.802798,26.9,7.3,1.7,1024,1024,1024,1024,0,0,0,0,51,6.413,74.66,165.026252,P-GPS,,50.3
670900,2026-01-07 12:43:55,0.0,5,7.107,0.0,0.0,-3.131716,27.0,7.4,2.0,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,165.354336,P-GPS,,50.4
671000,2026-01-07 12:43:55,0.0,5,7.107,0.0,0.0,-2.460634,27.0,7.0,2.3,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,165.68242,P-GPS,,50.5
671100,2026-01-07 12:43:55,0.0,5,7.107,0.0,0.0,-1.789552,27.0,7.3,2.4,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.010504,P-GPS,,50.6
671200,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,-1.11847,27.0,7.1,2.4,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.338588,P-GPS,,50.7
671300,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,-0.447388,26.9,7.1,2.1,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.338588,P-GPS,,50.7
671400,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,-0.223694,26.9,6.5,1.9,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.338588,P-GPS,,50.7
671500,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,0.0,26.9,6.4,2.0,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.666672,P-GPS,,50.8
671600,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,0.0,26.9,6.4,1.8,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.666672,P-GPS,,50.8
671700,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,0.0,26.9,6.7,2.0,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.666672,P-GPS,,50.8
671800,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,0.0,26.9,6.7,2.1,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.666672,P-GPS,,50.8
671900,2026-01-07 12:43:56,0.0,5,7.107,0.0,0.0,0.0,26.9,6.8,2.5,1024,1024,1024,1024,0,0,0,0,51,5.829,74.66,166.666672,P-GPS,,50.8
672000,2026-01-07 12:43:56,0.0,5,7.168,0.0,0.0,0.0,26.9,6.8,2.8,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.666672,P-GPS,,50.8
672100,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,6.7,2.6,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.666672,P-GPS,,50.8
672200,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,6.7,2.6,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.666672,P-GPS,,50.8
672300,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,6.8,2.1,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.666672,P-GPS,,50.8
672400,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,6.6,1.9,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
672500,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,6.8,1.7,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
672600,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.8,6.8,1.5,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
672700,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.8,6.8,1.6,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
672800,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.8,6.8,1.9,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
672900,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,7.0,2.2,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
673000,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,26.9,7.4,2.1,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
673100,2026-01-07 12:43:57,0.0,5,7.168,0.0,0.0,0.0,27.0,8.3,2.2,1024,1024,1024,1024,0,0,0,0,51,4.391,74.66,166.338588,P-GPS,,50.7
673200,2026-01-07 12:43:58,0.0,5,7.156,0.0,0.0,0.0,26.9,8.3,2.2,1024,1024,1024,1024,0,0,0,0,51,5.194,74.66,166.338588,P-GPS,,50.7
673300,2026-01-07 12:43:58,0.0,5,7.156,0.0,0.0,0.0,26.9,8.2,2.1,1024,1024,1024,1024,0,0,0,0,51,5.194,74.66,166.338588,P-GPS,,50.7
673400,2026-01-07 12:43:58,0.0,5,7.156,0.0,0.0,0.0,26.9,8.0,1.9,1024,1024,1024,1024,0,0,0,0,51,5.194,74.66,166.338588,P-GPS,,50.7
673500,2026-01-07 12:43:58,0.0,5,7.156,0.0,0.0,0.0,26.9,7.4,1.3,1024,1024,1024,1024,0,0,0,0,51,5.194,74.66,166.338588,P-GPS,,50.7
