time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
81700,2026-01-09 12:38:06,0.0,5,7.609,0.0,0.0,-4.250186,25.4,-3.1,-8.4,1024,1024,1684,1024,0,0,100,0,93,6.958,65.12,157.808404,P-GPS,,48.1
81800,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,25.3,-3.0,-8.2,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,158.464572,P-GPS,,48.3
81900,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,25.3,-3.2,-8.2,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,159.12074,P-GPS,,48.5
82000,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,25.1,-2.6,-8.5,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,159.776908,P-GPS,,48.7
82100,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,24.8,-2.1,-8.5,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,160.433076,P-GPS,,48.9
82200,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,25.2,-2.9,-7.6,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,161.089244,P-GPS,,49.1
82300,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,25.0,-2.7,-8.1,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,161.745412,P-GPS,,49.3
82400,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.250186,24.9,-2.7,-8.0,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,162.40158,P-GPS,,49.5
82500,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.250186,24.9,-2.1,-7.6,1024,1024,1684,1024,0,0,100,0,93,6.439,65.48,163.057748,P-GPS,,49.7
82600,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,24.8,-0.9,-7.1,1024,1024,1024,1024,0,0,0,0,93,6.439,65.48,163.713916,P-GPS,,49.9
82700,2026-01-09 12:38:07,0.0,5,7.635,0.0,0.0,-4.47388,24.7,-1.9,-7.2,1024,1024,1024,1024,0,0,0,0,93,6.439,65.48,164.370084,P-GPS,,50.1
