time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
350100,2026-01-07 15:39:05,0.0,5,7.221,0.0,0.0,-4.250186,38.1,4.4,4.2,1024,1024,1024,1024,0,0,0,0,56,5.975,73.4,92.519688,P-GPS,,28.2
350200,2026-01-07 15:39:05,0.0,5,7.221,0.0,0.0,-4.026492,38.1,4.0,4.1,1024,1024,1024,1024,0,0,0,0,56,5.975,73.4,93.175856,P-GPS,,28.4
350300,2026-01-07 15:39:05,0.0,5,7.208,0.0,0.0,-3.579104,38.2,4.7,4.3,1024,1024,1024,1024,0,0,0,0,56,5.581,73.58,93.832024,P-GPS,,28.6
350400,2026-01-07 15:39:05,0.0,5,7.208,0.0,0.0,-2.908022,38.2,4.9,4.5,1024,1024,1665,1024,0,0,97,0,56,5.581,73.58,94.160108,P-GPS,,28.7
350500,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-2.013246,38.3,5.1,4.9,1024,1024,1684,1024,0,0,100,0,56,5.581,73.58,94.488192,P-GPS,,28.8
350600,2026-01-07 15:39:06,0.223694,5,7.208,0.223694,0.0,-1.342164,38.3,5.5,4.8,1024,1024,1684,1024,0,0,100,0,56,5.581,73.58,94.816276,P-GPS,,28.9
350700,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-1.11847,38.3,5.5,4.5,1024,1024,1684,1024,0,0,100,0,56,5.581,73.58,94.816276,P-GPS,,28.9
350800,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-1.789552,38.2,5.4,4.5,1024,1024,1684,1024,0,0,100,0,56,5.581,73.58,95.14436,P-GPS,,29.0
350900,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-2.460634,38.2,5.5,4.0,1024,1024,1684,1024,0,0,100,0,56,5.581,73.58,95.472444,P-GPS,,29.1
351000,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-3.131716,38.3,5.2,4.6,1024,1024,1684,1024,0,0,100,0,56,5.581,73.58,95.800528,P-GPS,,29.2
351100,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-3.579104,38.3,5.0,5.0,1024,1024,1190,1024,0,0,25,0,56,5.581,73.58,96.456696,P-GPS,,29.4
351200,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-4.026492,38.2,4.6,5.3,1024,1024,1024,1024,0,0,0,0,56,5.581,73.58,97.112864,P-GPS,,29.6
351300,2026-01-07 15:39:06,0.0,5,7.208,0.0,0.0,-4.250186,38.2,4.8,5.3,1024,1024,1024,1024,0,0,0,0,56,5.581,73.58,97.769032,P-GPS,,29.8
