time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
10100,2026-01-11 17:17:53,0.223694,4,7.807,0.0,-0.223694,0.0,16.6,3.3,-1.0,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.120736,P-GPS,,10.4
10300,2026-01-11 17:17:53,0.223694,4,7.807,0.0,-0.223694,0.0,16.8,3.7,-0.5,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.120736,P-GPS,,10.4
10400,2026-01-11 17:17:53,0.223694,4,7.807,0.0,-0.223694,0.0,16.8,3.7,-1.0,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.120736,P-GPS,,10.4
10500,2026-01-11 17:17:53,0.223694,4,7.807,0.0,-0.223694,0.0,16.7,3.4,-1.8,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.120736,P-GPS,,10.4
10600,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.7,4.0,-1.5,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.120736,P-GPS,,10.4
10700,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.8,3.7,-1.4,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
10800,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.7,3.2,-1.7,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
10900,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.7,2.6,-2.1,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
11000,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.7,2.3,-2.5,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
11100,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.8,2.3,-2.3,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
11200,2026-01-11 17:17:54,0.0,4,7.807,0.0,0.0,0.0,16.9,2.1,-2.8,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
11300,2026-01-11 17:17:54,0.223694,4,7.807,0.0,-0.223694,0.0,16.8,2.0,-2.8,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
11400,2026-01-11 17:17:54,0.223694,4,7.807,0.0,-0.223694,0.0,16.8,2.2,-2.6,1024,1024,1024,1024,0,0,0,0,98,5.173,56.3,34.44882,P-GPS,,10.5
11500,2026-01-11 17:17:54,0.223694,4,7.792,0.0,-0.223694,0.0,16.8,1.9,-2.1,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,34.44882,P-GPS,,10.5
11600,2026-01-11 17:17:55,0.223694,4,7.792,0.0,-0.223694,0.0,16.8,1.8,-1.7,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,34.44882,P-GPS,,10.5
11700,2026-01-11 17:17:55,0.223694,4,7.792,0.0,-0.223694,0.0,16.8,2.0,-1.9,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,34.44882,P-GPS,,10.5
11800,2026-01-11 17:17:55,0.223694,4,7.792,0.0,-0.223694,0.0,16.8,2.0,-1.9,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,34.120736,P-GPS,,10.4
11900,2026-01-11 17:17:55,0.223694,4,7.792,0.0,-0.223694,0.0,16.8,1.6,-1.6,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,34.120736,P-GPS,,10.4
12000,2026-01-11 17:17:55,0.0,4,7.792,0.0,0.0,0.0,16.8,1.4,-1.9,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,34.120736,P-GPS,,10.4
12400,2026-01-11 17:17:55,0.0,4,7.792,0.0,0.0,0.0,16.7,2.8,-3.8,1024,1024,1024,1024,0,0,0,0,98,4.504,56.48,33.792652,P-GPS,,10.3
12500,2026-01-11 17:17:55,0.0,4,7.794,0.0,0.0,0.0,16.9,2.3,-3.4,1024,1024,1024,1024,0,0,0,0,98,4.405,56.48,33.792652,P-GPS,,10.3
12600,2026-01-11 17:17:56,0.223694,4,7.794,0.0,-0.223694,0.0,17.0,2.3,-2.8,1024,1024,1024,1024,0,0,0,0,98,4.405,56.48,33.792652,P-GPS,,10.3
