index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
722,371900,2026-01-07 12:35:14,0.0,5,7.498,0.0,0.0,0.0,50.3,7.7,4.5,1024,1024,1024,1024,0,0,0,0,73,5.44,72.14,166.338588,P-GPS,,50.7
723,372000,2026-01-07 12:35:14,0.0,5,7.498,0.0,0.0,0.0,50.4,7.8,4.7,1024,1024,1024,1024,0,0,0,0,73,5.44,72.14,166.666672,P-GPS,,50.8
724,372100,2026-01-07 12:35:14,0.0,5,7.498,0.0,0.0,0.0,50.4,7.8,4.8,1024,1024,1024,1024,0,0,0,0,73,5.44,72.14,166.666672,P-GPS,,50.8
725,372200,2026-01-07 12:35:14,0.0,5,7.494,0.0,0.0,0.0,50.4,7.6,4.8,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,,50.8
726,372300,2026-01-07 12:35:14,0.0,5,7.494,0.0,0.0,0.0,50.4,7.3,4.6,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,,50.8
727,372400,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,7.6,4.7,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,,50.8
728,372500,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.5,7.6,4.8,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,,50.8
729,372600,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,7.7,4.7,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,,50.8
730,372700,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,7.6,4.7,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),50.8
731,372800,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,7.7,4.8,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.666672,P-GPS,,50.8
732,372900,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,7.7,4.9,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.338588,P-GPS,,50.7
733,373000,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,7.9,5.0,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.338588,P-GPS,,50.7
734,373100,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,8.2,5.1,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.338588,P-GPS,,50.7
735,373200,2026-01-07 12:35:15,0.0,5,7.494,0.0,0.0,0.0,50.4,8.4,5.0,1024,1024,1024,1024,0,0,0,0,73,4.119,72.32,166.338588,P-GPS,,50.7
736,373300,2026-01-07 12:35:15,0.0,5,7.483,0.0,0.0,0.0,50.4,8.3,4.9,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.338588,P-GPS,,50.7
737,373400,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.4,5.0,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.338588,P-GPS,,50.7
738,373500,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.4,4.8,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.338588,P-GPS,,50.7
739,373600,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.6,4.6,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.338588,P-GPS,,50.7
740,373700,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.6,4.6,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.338588,P-GPS,,50.7
741,373800,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.7,4.6,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
742,373900,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.6,4.5,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
743,374000,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.6,4.3,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
744,374100,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.4,8.6,4.1,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
745,374200,2026-01-07 12:35:16,0.0,5,7.483,0.0,0.0,0.0,50.3,8.3,4.1,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
746,374300,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.5,4.2,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
747,374400,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.7,4.4,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
748,374500,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.4,4.6,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
749,374600,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.4,4.5,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
750,374700,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.4,4.4,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,166.010504,P-GPS,,50.6
751,374800,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.1,4.1,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
752,374900,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.2,4.2,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
753,375000,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.2,4.2,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
754,375100,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.2,4.3,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
755,375200,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.4,8.2,4.0,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
756,375300,2026-01-07 12:35:17,0.0,5,7.483,0.0,0.0,0.0,50.3,8.0,3.9,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
757,375400,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.3,7.9,4.0,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
758,375500,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.8,4.2,1024,1024,1024,1024,0,0,0,0,73,4.619,72.14,165.68242,P-GPS,,50.5
759,375600,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,8.0,4.3,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
760,375700,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.8,4.1,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
761,375800,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.7,4.0,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
762,375900,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.6,4.0,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
763,376000,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.6,4.1,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
764,376100,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.7,4.1,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
765,376200,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.7,4.0,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
766,376300,2026-01-07 12:35:18,0.0,5,7.483,0.0,0.0,0.0,50.4,7.7,4.1,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
767,376400,2026-01-07 12:35:19,0.0,5,7.483,0.0,0.0,0.0,50.3,7.7,4.1,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
768,376500,2026-01-07 12:35:19,0.0,5,7.483,0.0,0.0,0.0,50.4,7.4,4.0,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
769,376600,2026-01-07 12:35:19,0.0,5,7.483,0.0,0.0,0.0,50.4,7.3,4.1,1024,1024,1024,1024,0,0,0,0,73,4.75,72.32,165.68242,P-GPS,,50.5
770,376700,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.4,7.3,4.2,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
771,376800,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.3,7.4,4.2,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
772,376900,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.4,7.5,4.2,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
773,377000,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.4,7.6,4.3,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
774,377100,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.4,7.6,4.3,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
775,377200,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.3,7.7,4.2,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
776,377300,2026-01-07 12:35:19,0.0,5,7.487,0.0,0.0,0.0,50.4,7.6,4.3,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
777,377400,2026-01-07 12:35:20,0.0,5,7.487,0.0,0.0,0.0,50.4,7.3,4.5,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
778,377500,2026-01-07 12:35:20,0.0,5,7.487,0.0,0.0,0.0,50.4,7.4,4.5,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
779,377600,2026-01-07 12:35:20,0.0,5,7.487,0.0,0.0,0.0,50.4,7.5,4.5,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
780,377700,2026-01-07 12:35:20,0.0,5,7.487,0.0,0.0,0.0,50.4,7.5,4.4,1024,1024,1024,1024,0,0,0,0,73,4.663,72.32,165.68242,P-GPS,,50.5
781,377800,2026-01-07 12:35:20,0.0,5,7.481,0.0,0.0,0.0,50.4,7.4,4.1,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
782,377900,2026-01-07 12:35:20,0.0,5,7.481,0.0,0.0,0.0,50.4,7.6,4.2,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
783,378000,2026-01-07 12:35:20,0.0,5,7.481,0.0,0.0,0.0,50.4,7.7,4.2,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
784,378100,2026-01-07 12:35:20,0.0,5,7.481,0.0,0.0,0.0,50.4,7.8,4.2,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
785,378200,2026-01-07 12:35:20,0.0,5,7.481,0.0,0.0,0.0,50.4,8.0,4.3,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
786,378300,2026-01-07 12:35:20,0.0,5,7.481,0.0,0.0,0.0,50.4,8.2,4.3,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
787,378400,2026-01-07 12:35:21,0.0,5,7.481,0.0,0.0,0.0,50.4,8.3,4.4,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
788,378500,2026-01-07 12:35:21,0.0,5,7.481,0.0,0.0,0.0,50.4,8.3,4.3,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
789,378600,2026-01-07 12:35:21,0.0,5,7.481,0.0,0.0,0.0,50.4,8.1,4.1,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
790,378700,2026-01-07 12:35:21,0.0,5,7.481,0.0,0.0,0.0,50.4,8.1,4.1,1024,1024,1024,1024,0,0,0,0,72,4.715,72.32,165.68242,P-GPS,,50.5
