time(millisecond),timestamp,height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
324800,,Available with any HD 360 subscription,Available with any HD 360 subscription,720.94576683667,0.656168,0.0,0.0,0.0,17,5,0.0,720.94576683667,0.0,0.0,0.0,0.0,0.0,0.0,25.8,3.0,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.0,74.48,720.94576683667,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 90m (295 ft). Data Recorder File Index is 30. Setting new Maximum Flight Altitude to 90m (295 ft),0.0
324900,2026-01-08 12:33:31,,,720.94576683667,0.656168,0.0,0.98543638324,0.0125948822928,17,5,0.0,720.94576683667,0.0,0.0,0.98543638324,0.0,0.0,0.0,25.8,3.0,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.0,74.48,720.94576683667,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
325000,2026-01-08 12:33:31,,,720.94576683667,0.328084,0.0,1.00033139684,0.028649443174,17,5,0.0,720.94576683667,0.0,0.0,1.00033139684,0.0,0.0,0.0,25.8,3.0,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.0,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325100,2026-01-08 12:33:31,,,720.94576683667,0.328084,0.0,1.01450462564,0.042830381948,17,5,7.877,720.94576683667,0.0,0.0,1.01450462564,0.0,0.0,0.0,25.8,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325200,2026-01-08 12:33:31,,,720.94576683667,0.328084,0.0,1.02403874668,0.056165684212,17,5,7.877,720.94576683667,0.0,0.0,1.02403874668,0.0,0.0,0.0,25.8,3.0,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325300,2026-01-08 12:33:31,,,720.94576683667,0.328084,0.0,1.02680777564,0.062791340592,17,5,7.877,720.94576683667,0.0,0.0,1.02680777564,0.0,0.0,0.0,25.7,3.0,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325400,2026-01-08 12:33:31,,,720.94576683667,0.328084,0.0,1.0259678806,0.066640093996,17,5,7.877,720.94576683667,0.0,0.0,1.02680777564,0.0,0.0,0.0,25.7,2.9,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325500,2026-01-08 12:33:32,,,720.94576683667,0.328084,0.0,1.01139767016,0.086581695684,17,5,7.877,720.94576683667,0.0,0.0,1.02680777564,0.0,0.0,0.0,25.8,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325600,2026-01-08 12:33:32,,,720.94576683667,0.328084,0.0,1.03062995424,0.105859911524,17,5,7.877,720.94576683667,0.0,0.0,1.03062995424,0.0,0.0,0.0,25.8,3.0,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
325700,2026-01-08 12:33:32,,,720.94576683667,0.328084,0.0,1.04039045324,0.115629596876,17,5,7.877,720.94576683667,0.0,0.0,1.04039045324,0.0,0.0,0.0,25.7,3.0,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,78,3.94,3.937,0,0,0,0,0.726,74.48,720.94576683667,0.0,41,Motors_Started,,0.0
