time(millisecond),timestamp,altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
135100,2026-01-07 12:30:46,721.21204473233,0.328084,0.0,0.0,0.0,16,5,0.0,721.21204473233,0.0,0.0,0.0,0.0,0.0,0.0,11.2,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
135200,2026-01-07 12:30:46,721.21204473233,0.328084,0.0,0.0105280187096,0.0105280187096,16,5,0.0,721.21204473233,0.0,0.0,0.0105280187096,0.0,0.0,0.0,11.2,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
135300,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,0.0218582027992,0.0222022972984,16,5,0.0,721.21204473233,0.0,0.0,0.0218582027992,0.0,0.0,0.0,11.2,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
135400,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,0.058475395572,0.061848099092,16,5,0.0,721.21204473233,0.0,0.0,0.058475395572,0.0,0.0,0.0,11.2,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
135500,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,0.075861879068,0.079749346384,16,5,0.0,721.21204473233,0.0,0.0,0.075861879068,0.0,0.0,0.0,11.2,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 500m (1640 ft). Data Recorder File Index is 26. Setting new Maximum Flight Altitude to 500m (1640 ft),0.0
135600,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,4.8514765332,0.083376315004,16,5,0.0,721.21204473233,0.0,0.0,4.8514765332,0.0,0.0,0.0,11.2,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
135700,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,4.85728362,0.0894931131,16,5,0.0,721.21204473233,0.0,0.0,4.85728362,0.0,0.0,0.0,11.3,2.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
135800,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,4.8819555368,0.114185043024,16,5,0.0,721.21204473233,0.0,0.0,4.8819555368,0.0,0.0,0.0,11.3,2.1,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
135900,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,4.8921589492,0.127076447636,16,5,0.0,721.21204473233,0.0,0.0,4.8921589492,0.0,0.0,0.0,11.2,2.1,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
136000,2026-01-07 12:30:47,721.21204473233,0.328084,0.0,4.8766077676,0.142611881204,16,5,0.0,721.21204473233,0.0,0.0,4.8921589492,0.0,0.0,0.0,11.2,2.1,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,87,4.011,4.013,0,0,0,0,0.0,68.72,721.21204473233,0.0,41,Motors_Started,,0.0
