time(millisecond),timestamp,altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
140900,2026-01-09 20:08:57,720.8955548928,0.656168,0.0,0.0,0.0,16,5,0.0,720.8955548928,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.0,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.0,68.0,720.8955548928,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
141000,2026-01-09 20:08:57,720.8955548928,0.656168,0.0,0.0192927499612,0.0192927499612,16,5,0.0,720.8955548928,0.0,0.0,0.0192927499612,0.0,0.0,0.0,5.5,2.9,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.0,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141100,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,0.042154200824,0.048601707592,16,5,8.002,720.8955548928,0.0,0.0,0.042154200824,0.0,0.0,0.0,5.5,2.9,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141200,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,0.06166502822,0.069502626896,16,5,8.002,720.8955548928,0.0,0.0,0.06166502822,0.0,0.0,0.0,5.5,2.9,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141300,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,0.089954399204,0.100511158072,16,5,8.002,720.8955548928,0.0,0.0,0.089954399204,0.0,0.0,0.0,5.5,3.0,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 90m (295 ft). Data Recorder File Index is 32. Setting new Maximum Flight Altitude to 90m (295 ft),0.0
141400,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,4.7058072372,0.138827432264,16,5,8.002,720.8955548928,0.0,0.0,4.7058072372,0.0,0.0,0.0,5.5,2.9,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141500,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,4.7225723296,0.165850070924,16,5,8.002,720.8955548928,0.0,0.0,4.7225723296,0.0,0.0,0.0,5.5,3.0,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141600,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,4.7589568452,0.212710308644,16,5,8.002,720.8955548928,0.0,0.0,4.7589568452,0.0,0.0,0.0,5.4,3.0,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141700,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,4.7789371608,0.245053157448,16,5,8.002,720.8955548928,0.0,0.0,4.7789371608,0.0,0.0,0.0,5.5,2.9,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141800,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,4.8009515972,0.283724746612,16,5,8.002,720.8955548928,0.0,0.0,4.8009515972,0.0,0.0,0.0,5.5,2.9,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
141900,2026-01-09 20:08:58,720.8955548928,0.328084,0.0,4.8191930676,0.310340889196,16,5,8.002,720.8955548928,0.0,0.0,4.8191930676,0.0,0.0,0.0,5.5,3.0,0.6,0,0,1024,1024,1058,1024,0,0,5,0,0,0,0,89,4.001,3.997,0,0,0,0,0.655,68.0,720.8955548928,0.0,41,Motors_Started,,0.0
