time(millisecond),timestamp,altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
0,2026-01-11 15:29:55,720.62677404431,0.328084,0.0,0.0,0.0,14,4,0.0,720.62677404431,0.0,0.0,0.0,0.0,0.0,0.0,23.4,1.4,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
100,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.07037893926,0.07037893926,14,5,0.0,720.62677404431,0.0,0.0,0.07037893926,0.0,0.0,0.0,23.4,1.4,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
200,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.081888454064,0.087117128772,14,5,0.0,720.62677404431,0.0,0.0,0.081888454064,0.0,0.0,0.0,23.4,1.4,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
300,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.094731302244,0.102402562332,14,5,0.0,720.62677404431,0.0,0.0,0.094731302244,0.0,0.0,0.0,23.4,1.4,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
400,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.111226381512,0.119632221676,14,5,0.0,720.62677404431,0.0,0.0,0.111226381512,0.0,0.0,0.0,23.4,1.4,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
500,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.134747051556,0.147954072976,14,5,0.0,720.62677404431,0.0,0.0,0.134747051556,0.0,0.0,0.0,23.5,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
600,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.127119098556,0.163768706028,14,5,0.0,720.62677404431,0.0,0.0,0.134747051556,0.0,0.0,0.0,23.6,1.4,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 90m (295 ft). Data Recorder File Index is 33. Setting new Maximum Flight Altitude to 90m (295 ft),0.0
700,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.12306102756,0.17695046498,14,5,0.0,720.62677404431,0.0,0.0,0.134747051556,0.0,0.0,0.0,23.7,1.4,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,SD card speed low. Normal use may be affected. Replace SD card (Code: 10028),0.0
800,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.13977362652,0.19368274898,14,5,0.0,720.62677404431,0.0,0.0,0.13977362652,0.0,0.0,0.0,23.6,1.3,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
900,2026-01-11 15:29:56,720.62677404431,0.328084,0.0,0.14439304924,0.200108602204,14,5,0.0,720.62677404431,0.0,0.0,0.14439304924,0.0,0.0,0.0,23.6,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,97,4.049,4.054,0,0,0,0,0.0,59.54,720.62677404431,0.0,41,Motors_Started,,0.0
