time(millisecond),timestamp,altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
149800,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,0.0,0.0,16,5,0.0,720.81025010005,0.0,0.0,0.0,0.0,0.0,0.0,32.5,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.0,67.1,720.81025010005,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
149900,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,0.0204352368744,0.0204352368744,16,5,7.697,720.81025010005,0.0,0.0,0.0204352368744,0.0,0.0,0.0,32.5,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150000,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,0.045048885956,0.047244752168,16,5,7.697,720.81025010005,0.0,0.0,0.045048885956,0.0,0.0,0.0,32.5,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150100,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,0.070442259472,0.073271983972,16,5,7.697,720.81025010005,0.0,0.0,0.070442259472,0.0,0.0,0.0,32.5,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150200,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,0.097673559556,0.100880580656,16,5,7.697,720.81025010005,0.0,0.0,0.097673559556,0.0,0.0,0.0,32.5,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150300,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,0.147091212056,0.152248036368,16,5,7.697,720.81025010005,0.0,0.0,0.147091212056,0.0,0.0,0.0,32.4,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 500m (1640 ft). Data Recorder File Index is 27. Setting new Maximum Flight Altitude to 500m (1640 ft),0.0
150400,2026-01-07 15:35:33,720.81025010005,0.328084,0.0,7.2141078424,0.178698496532,16,5,7.697,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,32.5,3.0,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150500,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1951445872,0.199958011648,16,5,7.697,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,32.6,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150600,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1895343508,0.215063327092,16,5,7.697,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.0,2.9,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150700,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1814962928,0.230756897148,16,5,7.697,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.2,2.8,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150800,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1948165032,0.251605323012,16,5,7.697,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.3,2.9,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,41,Motors_Started,,0.0
150900,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1782154528,0.270680454856,16,5,7.697,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.3,2.8,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.849,3.848,0,0,0,0,0.653,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151000,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1565947172,0.293787082892,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.3,2.9,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151100,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.1349411732,0.316630259476,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.6,2.7,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151200,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.0917981272,0.35992783304,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.6,2.8,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151300,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.0687994388,0.38374016976,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.6,2.8,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151400,2026-01-07 15:35:34,720.81025010005,0.328084,0.0,7.0452430076,0.40846458,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,33.7,2.8,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151500,2026-01-07 15:35:35,720.81025010005,0.328084,0.0,7.0288059992,0.42564633908,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,34.0,2.8,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151600,2026-01-07 15:35:35,720.81025010005,0.328084,0.0,7.0570212232,0.45658137944,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,0.0,34.5,2.2,0.6,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151700,2026-01-07 15:35:35,720.81025010005,0.328084,0.0,7.05462621,0.46019686512,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,-0.223694,35.4,0.9,1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151800,2026-01-07 15:35:35,720.81025010005,0.328084,0.0,7.0396655796,0.48014765316,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,-0.447388,35.9,0.7,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
151900,2026-01-07 15:35:35,720.81025010005,0.656168,0.0,7.0205382824,0.50672901884,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,-0.894776,35.7,1.1,-1.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
152000,2026-01-07 15:35:35,720.81025010005,0.656168,0.0,6.9821852628,0.5520997552,16,5,7.679,720.81025010005,0.0,0.0,7.2141078424,0.0,0.0,-0.894776,35.8,1.3,-1.0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.844,3.844,0,0,0,0,1.189,67.1,720.81025010005,0.0,11,AutoTakeoff,,0.0
152100,2026-01-07 15:35:35,721.13833410005,0.656168,0.0,6.9456695136,0.59111878532,17,5,7.452,721.13833410005,0.328084,0.0,7.2141078424,0.0,0.0,-1.342164,35.8,1.4,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.73,3.722,0,0,0,0,4.173,67.1,721.13833410005,0.328084,11,AutoTakeoff,,0.1
152200,2026-01-07 15:35:35,721.13833410005,0.984252,0.0,6.8950789608,0.64595474508,17,5,7.452,721.13833410005,0.328084,0.0,7.2141078424,0.0,0.0,-1.565858,35.8,1.7,0.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,69,3.73,3.722,0,0,0,0,4.173,67.1,721.13833410005,0.328084,11,AutoTakeoff,,0.1
152300,2026-01-07 15:35:35,721.46641810005,0.984252,0.0,6.8502954948,0.69504267316,17,5,7.452,721.46641810005,0.656168,0.0,7.2141078424,0.0,0.0,-1.789552,35.8,1.7,0.6,0,0,1024,1024,1070,1024,0,0,7,0,0,0,0,69,3.73,3.722,0,0,0,0,4.173,67.1,721.46641810005,0.656168,11,AutoTakeoff,Home Point updated. RTH altitude adjusted to 500 m (Code: 120852),0.2
152400,2026-01-07 15:35:36,721.79450210005,1.312336,0.0,6.81922594,0.73083335672,17,5,7.452,721.79450210005,0.984252,0.0,7.2141078424,0.0,0.0,-2.013246,35.7,1.9,0.0,0,0,1024,1024,1070,1024,0,0,7,0,0,0,0,69,3.73,3.722,0,0,0,0,4.173,67.1,721.79450210005,0.984252,11,AutoTakeoff,,0.3
