time(millisecond),timestamp,altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
424400,2026-01-13 12:28:23,720.66432030535,0.328084,0.0,0.0,0.0,19,5,0.0,720.66432030535,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
424500,2026-01-13 12:28:23,720.66432030535,0.328084,0.0,0.0033673229424,0.0033673229424,19,5,0.0,720.66432030535,0.0,0.0,0.0033673229424,0.0,0.0,0.0,14.7,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
424600,2026-01-13 12:28:23,720.66432030535,0.328084,0.0,0.0067000002144,0.0067005579572,19,5,0.0,720.66432030535,0.0,0.0,0.0067000002144,0.0,0.0,0.0,14.7,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
424700,2026-01-13 12:28:23,720.66432030535,0.328084,0.0,0.020727198826,0.021326772336,19,5,0.0,720.66432030535,0.0,0.0,0.020727198826,0.0,0.0,0.0,14.7,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
424800,2026-01-13 12:28:23,720.66432030535,0.328084,0.0,0.019923557068,0.0222425532052,18,5,0.0,720.66432030535,0.0,0.0,0.020727198826,0.0,0.0,0.0,14.7,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
424900,2026-01-13 12:28:23,720.66432030535,0.328084,0.0,0.0084047574868,0.045233597248,18,5,0.0,720.66432030535,0.0,0.0,0.020727198826,0.0,0.0,0.0,14.7,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
425000,2026-01-13 12:28:24,720.66432030535,0.328084,0.0,0.026406004782,0.066308401072,18,5,0.0,720.66432030535,0.0,0.0,0.026406004782,0.0,0.0,0.0,14.7,1.5,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
425100,2026-01-13 12:28:24,720.66432030535,0.328084,0.0,0.033398623116,0.073526249072,18,5,0.0,720.66432030535,0.0,0.0,0.033398623116,0.0,0.0,0.0,14.8,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
425200,2026-01-13 12:28:24,720.66432030535,0.328084,0.0,0.072733598128,0.112899609912,19,5,0.0,720.66432030535,0.0,0.0,0.072733598128,0.0,0.0,0.0,14.8,1.5,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,,0.0
425300,2026-01-13 12:28:24,720.66432030535,0.328084,0.0,0.0895013152,0.131261159056,19,5,0.0,720.66432030535,0.0,0.0,0.0895013152,0.0,0.0,0.0,14.8,1.6,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,71,3.895,3.9,0,0,0,0,0.0,75.56,720.66432030535,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 90m (295 ft). Data Recorder File Index is 36. Setting new Maximum Flight Altitude to 90m (295 ft),0.0
