yaw_sd,power_avg,power_sd,power_intensity,tilt_avg,tilt_sd,turbulence_intensity,altitude(m),file_name
0.001072420424393262,35.93057922,0.6621525504476877,0.018403054225420216,2.3048817264894197,0.636893150054928,0.27045653413956694,10,Jan06.4-37_10m
0.0011501778894374944,36.014528199999994,0.6022714796351534,0.016699829713428874,2.561233328584586,0.7386445366880495,0.28287190141236074,10,Jan06.4-37_10m
0.0012620272965149686,36.004991239999995,0.3954655070530361,0.010968398367388875,2.991966248656579,0.7012655956284473,0.23053036697502696,10,Jan06.4-37_10m
0.0010225680358680355,35.88382128,0.6788187438212814,0.018890803138688107,2.084332667612132,0.4896451554857946,0.2294137005519408,10,Jan06.4-37_10m
0.000994834302969888,35.87313278,0.6855434006912154,0.019083619596587297,1.9770689860067014,0.4948698288649748,0.24413072879175252,10,Jan06.4-37_10m
0.0010947947970826348,35.84912748000001,0.7021308513440427,0.01955843778474035,1.8597367952864063,0.4869512110014321,0.25498341562215293,10,Jan06.4-37_10m
0.001249651761554537,35.89980908,0.34780372052326874,0.009674702854451676,2.934283022773707,0.7667737488333805,0.2569373423974753,10,Jan06.4-37_10m
0.0011700053771002532,35.745289220000004,0.6914924908943815,0.019317974682211032,1.8058353290338138,0.46812562025608007,0.2522452358420162,10,Jan06.4-37_10m
0.0012888352636167152,35.728975199999994,0.6544322592843338,0.01829097271864662,2.889422773563885,0.8234050975701301,0.28012475951929766,10,Jan06.4-37_10m
0.001319815560799044,35.263948840000005,1.3590136847468892,0.038483764330754726,2.8886622177879016,0.8235256408562122,0.28023827844907157,10,Jan06.4-37_10m
0.0013046556595106046,34.87875544,1.7363995289215142,0.049712608051674524,2.829667615842943,0.8688375907097484,0.3017145402232196,10,Jan06.4-37_10m
0.001273306560478683,34.92845244,1.7612269354454266,0.05035176837701819,2.7842392228219337,0.8920350215623785,0.31473526101096594,10,Jan06.4-37_10m
0.00123413376268078,35.65644194,0.6484199535566619,0.018159747046380223,1.7922538461275956,0.4576182249840938,0.24840128625379398,10,Jan06.4-37_10m
0.0011884566947738466,36.09620896,0.43975486806271313,0.012166002485885955,2.9392755432466426,0.699459908897761,0.23398977403671523,10,Jan06.4-37_10m
0.001246164590920599,36.1055206,0.5099755800135551,0.014105054264204267,2.765659361157869,0.6832756473376944,0.24266985444457834,10,Jan06.4-37_10m
0.0035438496251814357,32.39379542,0.8774562759487899,0.02704542623912249,5.366639657933522,1.347854978382387,0.24883600599280056,30,Jan06.4-37_30m
0.003497943127404328,32.248672459999995,0.7795071959575214,0.024134341648960812,5.282305496779288,1.3390708927504742,0.25112418888213983,30,Jan06.4-37_30m
0.0033154609315403385,32.24682815999999,1.1016566352549035,0.03411036618819797,5.011506517505897,1.1641772188694466,0.23000606930821568,30,Jan06.4-37_30m
0.0033341586580324448,32.13272716,0.6612640765438578,0.0205471734342559,5.126924327492098,1.2482015389374497,0.24110870856443958,30,Jan06.4-37_30m
0.0034179416149672606,32.564153880000006,1.5938589057302965,0.04887015961213391,5.025170932298837,1.1942280835286916,0.2353079530639093,30,Jan06.4-37_30m
0.003257769880942298,32.920508600000005,1.8462991510990465,0.055998503799211834,5.082685840176122,1.2801086728713156,0.24940327788060962,30,Jan06.4-37_30m
0.0033079519702574277,33.27876356,1.9830409779944822,0.05949938630110052,5.296247382517472,1.421756481623198,0.26593540850212455,30,Jan06.4-37_30m
0.0033207066780723874,33.304728600000004,2.052909902282919,0.061547792125729334,5.687328706621255,1.5728863961344128,0.27414960455711707,30,Jan06.4-37_30m
0.0032767968639310866,33.235913100000005,2.1218890225864184,0.06374735811547913,6.21875000040717,1.672145277485227,0.266743015334256,30,Jan06.4-37_30m
0.002804295285549632,33.34697408,2.07828174278567,0.06222964205701087,6.491602714661652,1.5129017243523895,0.23127386213191037,30,Jan06.4-37_30m
0.002615020021884925,33.85502452,2.078180324865397,0.06129416964849896,6.675818344140481,1.2999409076198467,0.1932762440353972,30,Jan06.4-37_30m
0.0029478206423144268,34.317958520000005,2.2364217478523303,0.06507287148146645,6.71075013376463,1.2661336946921131,0.18727710233939443,30,Jan06.4-37_30m
0.0032981664629224746,34.80198012,2.660295674582768,0.07633126340090338,6.88501703654027,1.1906696823209217,0.17168951078956846,30,Jan06.4-37_30m
0.002594973956591434,33.503004180000005,1.9937521472726945,0.05942097275632666,6.696624975932469,1.2852435375181166,0.19050170153269558,30,Jan06.4-37_30m
0.0021276699853882758,34.31208358000001,1.9869864408626565,0.0578249696714886,7.090464368967875,0.7496359881241115,0.10498420682301764,30,Jan06.4-37_30m
0.003176612185984425,32.60011702,0.9007879956292556,0.027589119973979673,5.618759583383884,1.3025644815923254,0.22977945394092342,30,Jan06.4-37_30m
0.0024173671299886966,32.81106251999999,0.8797581193603251,0.026772053363304498,5.9240960174013715,1.2471544659127574,0.20876036512972687,30,Jan06.4-37_30m
0.0032889175811252613,35.134950520000004,2.9968154064662915,0.08517321645124461,7.0369481075678335,1.3307820822379675,0.18777928976464284,30,Jan06.4-37_30m
0.002406025634125848,33.55086616,1.3778162318658607,0.04100537841212189,6.4037427478316955,0.6430783901758597,0.09964425532640246,30,Jan06.4-37_30m
0.002411187738960011,34.112370219999995,1.745852166118434,0.05110453855734939,6.595275162023041,0.5088457699077419,0.07657256584584113,30,Jan06.4-37_30m
0.0022644000112162074,34.490878280000004,1.745538221790903,0.05053543247050587,6.7733664553902795,0.7240101342408118,0.10610746747580338,30,Jan06.4-37_30m
