file_name,flight_time(seconds),altitude(m),zSpeed_avg,zSpeed_sd,speed_avg,speed_sd,power_avg,power_sd,power_intensity,tilt_avg,tilt_sd,turbulence_intensity
Jan06.4-37_10m,12.0,10,0.0,0.0,0.0,0.0,35.41828308870968,1.2719416767299505,0.035861382789482615,2.284006717294239,0.7881791875835046,0.3376936243342191
Jan06.4-37_30m,19.0,30,0.019774055248618784,0.11621763304640154,0.022987339226519337,0.0725399990059435,33.92723728176795,2.2937363797006465,0.06750803076421567,6.432704670268928,1.3555364316247676,0.20910044504133407
Jan06.4-37_50m,19.0,50,-0.008464097297297296,0.042797517767963804,0.012091567567567567,0.05071992282888951,36.88590584864865,0.8855330734295447,0.023974857339580945,5.471955517047082,0.8391410644733621,0.1519644737960694
Jan06.4-41_10m,16.0,10,0.0,0.0,0.0026630238095238096,0.024333831747597578,36.79717167261905,2.003796727417083,0.05438128997309431,4.717383119922367,1.1992458008634859,0.2515522186274416
Jan06.4-41_30m,18.0,30,0.0,0.0,0.0025276158192090396,0.023710755409282917,34.7840417740113,2.23950217529566,0.06429062093410275,6.1830987300175595,0.766242109515124,0.12293116838099007
Jan06.4-41_50m,18.0,50,0.006078641304347826,0.03646963331757974,0.0,0.0,35.22097664130434,1.3040874331990866,0.03697338597854207,7.869861126674306,0.6757816596270505,0.08532746329995607
Jan06.4-47_10m,18.0,10,-0.0012567078651685394,0.016766574163824023,0.0,0.0,38.09375397191011,2.558057956059022,0.06706361303459622,5.206919550814036,0.8129669622421112,0.1546470236768647
Jan06.4-47_30m,18.0,30,0.0024053118279569892,0.023133210434224855,0.01563452688172043,0.057188239441924076,38.03883475806452,2.139851775578251,0.0561805523631878,8.900152495311852,0.8310368456921553,0.09285169678700533
Jan06.4-47_50m,21.0,50,0.013782094786729857,0.05391476687999592,0.004240644549763033,0.03057867258450236,36.28974256872038,1.8251521624335425,0.050224686071512016,7.488223174580082,0.8088922116104806,0.10730542103584512
Jan07.12-28_10m,17.0,10,0.0,0.0,0.03273570731707317,0.07930640214921152,35.535747487804876,2.6193770274491888,0.07360747524965834,8.254933597760866,0.8967757263029593,0.10798108326173052
Jan07.12-28_30m,12.0,30,-0.003607967741935484,0.02829344630941929,0.14973066129032261,0.20496292109120168,38.599232637096776,3.553595690190103,0.09194479289038324,7.7820380168762995,1.9045850831304392,0.24317873317602418
Jan07.12-28_50m,21.0,50,0.009679067307692305,0.04562315218589231,0.0,0.0,34.566008870192306,2.06112346165787,0.05954249287914571,7.296676524857268,0.695223287567093,0.09463099201588979
Jan07.12-30_10m,18.0,10,-0.0025276158192090396,0.023710755409282917,0.007330085875706214,0.04374251110370824,35.98706720903955,1.4346362115817557,0.03981001570577006,5.424471028261073,0.9122125613579274,0.16663026558160182
Jan07.12-30_30m,18.0,30,0.0,0.0,0.0,0.0,36.94114083522727,1.402520085296871,0.03791502650713676,6.984480274368281,0.5973666606270582,0.08491980037298544
Jan07.12-30_50m,21.0,50,0.015321506849315068,0.05663237100870503,0.0,0.0,34.934612621004575,1.1169304059588177,0.03192633338715944,6.528411290388159,0.7679840139343391,0.11674308279515072
Jan07.12-34_10m,19.0,10,-0.0012026559139784946,0.0164020398737933,0.0,0.0,34.28566994086022,1.649240651633456,0.04803286653425168,4.869105551972353,0.9202727827612885,0.18708132465104313
Jan07.12-34_30m,22.0,30,0.0,0.0,0.0,0.0,35.16238172300469,1.2832035228663523,0.03644182699598589,8.678862706530456,0.4797496979779351,0.05496130642758451
Jan07.12-34_50m,20.0,50,0.0,0.0,0.0,0.0,35.600368133663366,1.4316319238408342,0.04015756354810248,8.99676179357963,0.35472644057572195,0.039210321733845886
Jan07.12-37_10m,20.0,10,-0.001147148717948718,0.01601906006333769,0.0057357435897435905,0.03544850854373357,36.606289917948715,2.07023129071888,0.0564768364543405,5.867038204818978,0.9060883048012253,0.1531320693625546
Jan07.12-37_30m,21.0,30,0.0,0.0,0.0020808744186046513,0.021524497348610113,35.143999381395346,1.1853903240146408,0.033681603251981516,6.730152666840297,0.8327263308847127,0.12281822722920807
Jan07.12-37_50m,24.0,50,0.0,0.0,0.0018957118644067797,0.020548840887992414,33.22764525423729,1.39975828200181,0.04206302072480855,6.387853910979917,0.9146237203910094,0.14206966064127308
Jan07.12-42_10m,28.0,10,0.0,0.0,0.010348832740213523,0.047071846301506355,36.2455560569395,2.848302541766366,0.07847524190834892,6.269499996029582,0.8973709890157807,0.14200031483180336
Jan07.12-42_30m,29.0,30,0.0,0.0,0.0,0.0,35.42205501736111,1.1119790343568536,0.03134802970430152,6.394412832769727,0.4138185523012448,0.06421353861704587
Jan07.12-42_50m,28.0,50,0.0,0.0,0.0,0.0,36.52697020788531,1.6408688803370248,0.0448607107426105,6.64714926616967,0.7030469418498294,0.10497704529317235
Jan07.3-35_10m,29.0,10,0.0,0.0,0.012470745644599301,0.05141324400665868,34.98692909407666,2.0025966942686004,0.05715674135970893,5.3248583288392215,0.9053428130727352,0.16844031185250927
Jan07.3-35_30m,28.0,30,0.0,0.0,0.0031842562277580072,0.026545569074272447,35.201108854092524,1.4225102761935313,0.04035363205399944,5.142032651190479,0.8223432550591913,0.15838560931827664
Jan07.3-35_50m,27.0,50,0.0,0.0,0.005427869117647059,0.04003371320249053,34.12186924264706,0.9501701375894573,0.027805623708861364,5.387620618917056,0.9422317585349289,0.17328015773240568
Jan07.3-38_10m,27.0,10,0.0,0.0,0.0,0.0,35.74496715693431,0.9806235815173904,0.027395571484060466,3.5164311723109236,0.9760333793937909,0.27367228813260824
